ESTABLISHMENTNAME,EXACT LOCATION,STREETADDRESS,SUBURB,TOWNNAME,POSTALADDRESS,PHONE,PRINCIPALECONOMIC ACTIVITY
WILLIAM DAZIE METAL WORKS,OPPOSITE CHRIST THE KING SENIOR HIGH SCHOOL,AKAPORISO MAIN ROAD,AKAPORISO,OBUASI,,246156463,Treatment and coating of metals; machining
WILLIAM GYEBI'S STORE,STORE NO. 41 ON THE CENTRAL STATION ROAD,CENTRAL ROAD,OBUASI CENTRAL,OBUASI,"P. O. BOX 686, OBUASI",272381572,"Retail sale of clothing, footwear and leather articles in specialized stores"
WILLIAM'S SHOE MAKING SHOP,"DUNKWA JUNCTION, OPPOSITE SDA CHURCH",KUMASI-OBUASI ROAD,KUNKA,OBUASI,,267634211,Manufacture of footwear
WIND BEST SHOP,OPPOSITE A.G.A BUNGALOW,MANGOASE BOGOBIRI ROAD,RAMIA,OBUASI,,240303094,Other retail sale in non-specialized stores
WISDOM SPOT,BEHIND TRIUMPHAN ACADEMY,APOSTOLIC ROAD,AKAPORISO,OBUASI,,NULL,Beverage serving activities
WISE-MAN ENTERPRISE TRADING SHOP,ADJCENT AGYEMANG GASS STATION,DUNKWAN ROAD,KUNKA,OBUASI,"P. O. BOX 1222, OBUASI",244165798,Retail sale of food in specialized stores
WISEMAN ENTERPRISE PRINTING,ADJACENT AGYEMAN GASS STATION,DUNKWA ROAD,KUNKA,OBUASI,"P. O. BOX 1136, OBUASI",546617697,Service activities related to printing
WISHES EVENTS AND DECORATIONS,ADJACNET MIKE OBENG COMPANY LIMITED,GAUSU ROAD,KULAM,OBUASI,"P. O. BOX 122, OBUASI",244367530,Specialized design activities
WITH GO ALL THINGS ARE POSSIBLE SHOP,ADJACENT GLOBAL EXECUTIVE BARBERING,MANGOASE  BOGOBIRI ROAD,BIDIESO,OBUASI,,540989485,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
WITH GOD ALL THINGS ARE POSSIBILE FASHION CENTRE,BEHIND MAMA TESS ENTERPRISE,,POMPOSO,POMPOSO,,249039802,"Manufacture of wearing apparel, except fur apparel"
WITH GOD ALL THINGS ARE POSSIBLE ENTERPRISE,AKAPORISO BUS STATION BEHIND MARGARET OBENG'SCOSMETICS,AKAPORISO MAIN ROAD,AKAPORISO,OBUASI,,501282829,"Retail sale of clothing, footwear and leather articles in specialized stores"
WITH GOD ALL THINGS ARE POSSIBLE SALON,ADJACENT GLO OFFICE,OBUASI HIGH STREET,MANGOASE OBUASI,OBUASI,,542730296,Hairdressing and other beauty treatment
WITH GOD ALL THINGS ARE POSSIBLE STORE,GAUSU EXTENSION HOUSE NO. GUE 6/B,,GAUSU,OBUASI,,249503690,Other retail sale in non-specialized stores
WITH GOD ALL THINGS ARE POSSIBLES DRESS MAKINGSHOP,OPPOSITE BORN AGAIN CHURCH,BORN AGAIN ROAD,BOGOBIRI,OBUASI,,202468250,"Manufacture of wearing apparel, except fur apparel"
WITH GOD EVERYTHING IS POSSIBLE SHOP,INFRONT OF HOUSE NO. ZO 1C OPPOSITE QUEENAGYIMAH SCHOOL,OBUASI HIGH STREET,ZONGO,OBUASI,,578328402,"Manufacture of wearing apparel, except fur apparel"
WITH GOD THINGS ARE POSSIBLE,BEHIND THE AHMADIYYA MOSQUE,,POMPOSO,POMPOSO,,268352564,Retail sale of food in specialized stores
WITHOUT JESUS NO HOPE STORE,NEXT TO ESINAM'S AGRO CHEMICALS,,KWABENAKWA SEBENSO,KWABENAKWA,,249282550,Other retail sale in non-specialized stores
WO DI AGORO DRINKING BAR,ADJACENT EVELYN MENS SPOT,,ODUMASI,OBUASI,,544833281,Beverage serving activities
WODAAKYE SPOT,ADJACENT ISHATU'S COSMETICS,ANYINAM ROAD,ANYINAM,OBUASI,,267444188,Beverage serving activities
WOFA K BREAK BAN SHOP,ADJACENT STAR OIL FILLING STATION,AKAPORISO MAIN STREET,AKAPORISO,OBUASI,,248460068,Maintenance and repair of motor vehicles
WOFA KOO'S ELECTRICALS,OPPOSITE WINNERS CHAPEL,KUMASI-DUNKWAN ROAD,NYAME SO,OBUASI,,548624645,Maintenance and repair of motor vehicles
WOFA PAYG BEAUTY SALON,BEHIND INTERNATIONAL CENTRAL GOSPEL CHURCH,NKAPROM ROAD,BOGOBIRI,BOGOBIRI,,246107017,Hairdressing and other beauty treatment
WOFA YERE'S STORE,OPPOSITE NYAME NA AYE BEAUTY,,KWABENAKWA,KWABENAKWA,,249081074,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
WORKS DEPARTMENT,"OBUASI MUNICIPAL ASSEMBLY BOLCK, ROOM 34 TO 37",GOVERNMENT HOSPITAL ROAD,RAMIA,OBUASI,"P. O. BOX 32, OBUASI",208118037,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security"
WORKS OF FAITH MINISTRY,"BOGOBIRI WEST, ADJACENT HOLY CHILD SCHOOL",AMANGOASE HOSPITAL RAOD,BOGOBIRI,OBUASI,"P. O. BOX 1218, OBUASI",246477883,Activities of religious organizations
WORLD LINK TRAVEL AND TOURS,"GAUSU EXTENSION GUE 87/A, ADAJCENT ENEFEL SCHOOL",ENEFEL SCHOOL ROAD,GAUSU,OBUASI,"P. O. BOX 87, OBUASI",244743693,Other reservation service and related activities
WORLD MARKET SHOP,OPPOSITE JEMIMA MATERNITY HOME,JEMIMA ROAD,CENTRAL,OBUASI,"P. O. BOX 363, OBUASI",246342931,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores"
X- BOAT GUST HOUSE,ADJACENT DEEPER LIFE CHURCH,VICTORIA GARDENS STREET,KOFFEKROM EXTENSION,OBUASI,,244242293,Short term accommodation activities
Y-SPOT,CLOSE TO THE PUBLIC TOILET OPPOSITE JILAC,MENSAKROM RAOD,MENSAKROM,OBUASI,,277393077,Beverage serving activities
YAA ADU'S PROVISIONS STORE,ADJACENT MARTHA BEMPEH'S PROVISIONS STORE,,ADAASI,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YAA AKUMAA'S PROVISIONS SHOP,INFRONT OF HOUSE NO. GU15 C,,RAMIA-OBUASI,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YAA ANANE'S STORE,STORE NO. 7 BESIDES CENTRAL TOWN HALL,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,245166215,Other retail sale in non-specialized stores
YAA ASANTEWAA'S ENTERPRISE,BESIDES MR. OTI'S HOUSE,D/69/B,DOMEABRA,DOMEABRA,,242139577,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YAA BAAWIAH'S SHOP,BEHIND TOWN HALL BUILDING,AFUA AFRIFAA III WALK,CENTRAL MARKET,OBUASI,,NULL,"Retail sale of clothing, footwear and leather articles in specialized stores"
YAA BEAUTY SALON,"STORE NO. 63, ABUMU STORES, CENTRAL MARKET",CENTRAL MARKET ROAD,CENTRAL MARKET,OBUASI,,549443077,Hairdressing and other beauty treatment
YAA BEAUTY SALON,OPPOSITE ZO 14A,OBUASI HIGH STREET,ZONGO,OBUASI,,NULL,Hairdressing and other beauty treatment
YAA DANKWA'S ENTERPRISE,OPPOSITE AGNES AMPONSAH'S ENTERPRISE,,ODUMASI,OBUASI,,249657196,Retail sale of food in specialized stores
YAA FREMAH'S STORE,EXACTLY OPPOSITE RAPHEKA'S PHARMACY LTD,BINSERE ROAD,KUNKA,OBUASI,,548580112,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YAA GYAMFUA'S SHOP,OPPOSITE ODOTOBRI RURAL BANK,ODOTOBRI RURAL BANK ROAD,CENTRAL,OBUASI,"P. O. BOX 67, OBUASI",244276561,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
YAA MANSAH'S SHOP,ADJACENT BEATY'S INN DRINKING SPOT,PANOS ROAD,NYAME SO,OBUASI,,246698646,"Manufacture of wearing apparel, except fur apparel"
YAA MANSAH'S STORE,STORE NO. 35 ON THE CENTRAL ROAD,CENTRAL ROAD,OBUASI CENTRAL,OBUASI,,249944639,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YAA MANSAH'S STORE,STORE NO. 35 ON THE CENTRAL ROAD,CENTRAL ROAD,OBUASI CENTRAL,OBUASI,,249944639,Other retail sale in non-specialized stores
YAA MANSAH'S STORE,STORE NO. 9 ON THE ANTWI SAMPA DRIVE,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,242387554,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YAA MANSAH'S STORE,STORE NO. 9 ON THE ANTWI SAMPA DRIVE,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,242387554,Other retail sale in non-specialized stores
YAA NYARKO'S SHOP,OPPOSITE ANGLICAN CHURCH,ODOTOBRI RURAL BANK ROAD,NEW NSUTA,OBUASI,,248407904,"Manufacture of wearing apparel, except fur apparel"
YAA SERWAA PROVISIONS STORE,ADJACENT REGINA ASARE COLD STORE,NANA PONKO ROAD,KUNKA,OBUASI,,540692953,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YAA WUSAA'S PROVISION STORE,ADJACENT ADONTEN HENE'S HOUSE,,ODUMASI,OBUASI,,541777417,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YAAPIA PROVISIONS STORE,OPPOSITE BOYS ABRE PARLIAMENT,ANYINAMFIE ROAD,ANYINAMFIE,OBUASI,,244801293,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YAATASU FUSEINI'S SHOP,ADJACENT TOTAL FILLING STATION,AMPOFO BERIMA WALK,ANTOBUASI,OBUASI,,244218896,"Manufacture of wearing apparel, except fur apparel"
YABECS ENTERPRISE,ADJACENT SAFARI SPOT,DUNKWAN ROAD,NYAME SO,OBUASI,,266754099,Other retail sale in non-specialized stores
YAHANU ENTERPRISE (COLD STORE AND GENERAL HARDWARE),NEXT TO UNION OIL FILLIN STATION,KWABENAKWA ROAD,ASONKORE,ASONKORE,,NULL,Retail sale of food in specialized stores
YAHAYA'S MOSQUE,ADJACENT BARON HOTEL,JUST LOVE ROAD,KOFFEKROM,OBUASI,,244682122,Activities of religious organizations
YAHWEH COMPUTERS AND ACCESSORIES,"PLOT NN 105, T-JUNCTION",101 OBUASI HIGH STREET,NEW NSUTA,OBUASI,"P. O. BOX 611, OBUASI",242212779,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores"
YAHWEH IS GLORY ENTERPRISE,PLOT NO. ZO 34A - ZONGO,102 OBUASI HIGH STREET,ZONGO,OBUASI,"P. O. BOX 602, OBUASI",244252623,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YAK ELECTRICALS ENTERPRISE,OPPOSITE ADANSI RURAL BANK LTD,BEATRICE PRAH,NEW NSUTA,OBUASI,"P. O. BOX 416, OBUASI",244637570,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
YAKUBU IDDRISU'S 424 LOTTO AGENT,BEHIND THE ECG TRANSFORMER,,KWABENAKWA,KWABENAKWA,,248461687,Gambling and betting activities
YAW ADU GYAMFI'S SHOP,ADJACENT BLUBE GATE SPOT,,GAUSU,OBUASI,,244908934,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YAW ASATRE BARBERING SHOP,BEHIND THE VODAFONE MAST,,KUNKA,OBUASI,,543427217,Hairdressing and other beauty treatment
YAW BARIMA SPOT,BEIND THE TRANSFORMER,CLUB 10 ROAD,BOGOBIRI,OBUASI,,246055890,Restaurants and mobile food service activities
YAW CEE BARBERING SHOP,BEHIND ROMAN CATHOLIC CHURCH,MARKET ROAD,AKAPORISO,OBUASI,,209018040,Hairdressing and other beauty treatment
YAW ENTERPRISE,ALONG THE HIGH STREET LEADING TO KOFFEKROM,OBUASI HIGH STREET,GAUSU,OBUASI,,NULL,Retail sale of beverages in specialized stores
YAW FASHION SHOP,BEHIND BETHEL BEAUTY SALON,A.G.A SCHOOL ROAD,KULAM,OBUASI,,240302904,"Manufacture of wearing apparel, except fur apparel"
YAW FOSU ENTERPRISE,ADJACENT NYARKO'S ENTERPRISE,,KUNKA JUNCTION,OBUASI,"P. O. BOX 1169, OBUASI",242184707,"Retail sale of hardware, paints and glass in specialized stores"
YAW GYAMFI'S STORE,CONUCIL QUATERS JUNCTION BEHIND ST. AUGUSTINESCHOOL,,ABOMPE,OBUASI,,243084132,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YAW KUMAH'S SHOP,BEHIND THE TAXI RANK ADJACENT THE STATION BAR,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,NULL,"Retail sale of clothing, footwear and leather articles in specialized stores"
YAW MAHU SHOP,BEHIND THE TOWN HALL BUILDING,AFUA AFRIFAA ROAD,OBUASI CENTRAL,OBUASI,,NULL,"Retail sale of clothing, footwear and leather articles in specialized stores"
YAW MANU'S STORE,OPPOSITE THE TOWN HALL BUILDING,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,276400074,"Manufacture of wearing apparel, except fur apparel"
YAW MOOSI'S SPOT,ADJACENT THE FIRST BOREHOLE FROM MAMIRIWA NO.2,,MAMIRIWA NO. 1,OBUASI,,549441644,Beverage serving activities
"YAW NUAMAH, MR. EDWARD AND THEOPHILUS AMADU'SSTEEL BENDING","OBUASI, DUNKWA JUNCTION BEHIND TWIAH'S VENTURES",OBUASI-KUMASI ROAD,KUNKA,OBUASI,,242577782,Other specialized construction activities
YAYAH SEIDU SHOP,BEHIND ABOAGYE MOTORS,,BOGOBIRI,OBUASI,,267390951,Manufacture of footwear
YEBOAH COSMETICS AND SPOT,BEHIND THE MTN MAST,ABUSCO ROAD,AKAPORISO,OBUASI,,249276131,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
YEBOAH PATRICK'S STORE,BEHIND THE BOREHOLE,,MAMIRIWA NO. 2,OBUASI,,243911416,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YEHONWA BE HWE ENTERPRISE,OPPOSITE JEMIMA MARTERNITY HOME,ODOTOBRI RURAL BANK ROAD,CENTRAL,OBUASI,,NULL,"Retail sale of hardware, paints and glass in specialized stores"
YEHOWA ADOM ENTERPRISE,"BEHIND AKAPORISO BUS STATION, BEHIND THE WASHINGBAY",,AKAPORISO,OBUASI,,248188561,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YEHOWA AKWANKYERE FURNITURE WORK SHOP,ADJACENT NO FOOD FOR LAZY MAN,BONGOBIRI ROAD,"DUNKWA JUNCTION, KUNKA",OBUASI,,546337152,Manufacture of furniture
YEHOWA BEHWE STORE,ADJACENT ODOTOBRI RURAL BANK,OBUASI CENTRAL STATION ROAD,OBUASI CENTRAL MARKET,OBUASI,,234801988,"Retail sale of hardware, paints and glass in specialized stores"
YEHOWA BEWHE COLD STORE,ADJAENT MOONLIGHT SPOT,NANA PONKU ROAD,KUNKA,OBUASI,,242212707,Retail sale of food in specialized stores
YEHOWA NYIRA,BEHIND ADOM ARA KWA ENTERPRISE,ABUSCO ROAD,AKAPORISO,OBUASI,,268319297,Retail sale of beverages in specialized stores
YEHOWA NYIRA COSMETICS,OPPOSITE ADOM ARA KWA ENTERPRISE,ABUSCO ROAD,AKAPORISO,OBUASI,,243611103,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
YELNATS ROOFING,ALONG THE OBUASI HIGH STREET CLOSE TO A.G.ASCHOOL,OBUASI HIGH STREET,KOFFEKROM,OBUASI,,248160732,"Retail sale of hardware, paints and glass in specialized stores"
YEN ABIBIFO GARDENS,NEXT TO ALL STAR VENTURES,ALL STAR STREET,ASONKORE NEW SITE,ASONKORE,,NULL,Beverage serving activities
YENKULE ENTERPRISE,ADJACENT ANYINAMFIE STATION,ANYINAM ROAD,ANYINAM,OBUASI,,242272668,Wholesale on a fee or contract basis
YES LORD BEAUTY PARLOUR,BESIDES MACKLIN JOINT,KAMARA DINI ROAD,ESTATE,OBUASI,,241915265,Hairdressing and other beauty treatment
YESU ADOM DRESS MAKING SHOP,YESU ADOM ON THE ANTOBUASI WALK,ANTOBUASI WALK,ANTOBUASI-OBUASI,OBUASI,,243989701,"Manufacture of wearing apparel, except fur apparel"
YESU ADOM ENTERPRISE,OPPOSITE  HORSE PARK,NINE MLIES STATION,ESTATE,OBUASI,,249345189,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YESU ADOM ENTERPRISE,ADJACENT MANNA EDUCATIONAL COMPLEX,,BONGOBIRI,OBUASI,,249592738,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YESU ADOM PROVISIONS STORE,OPPOSITE HOUSE NO. GUE24/C,SANTIAGO ROAD,GUAUS EXTENSION,OBUASI,,244298020,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YESU ADOM PROVISIONS STORE,BEHIND PENTECOST CHURCH,BINSERE ROAD,KUNKA,OBUASI,,243401433,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YESU ADOM STORE,BEHIND BIBLE BELIEVERS CHURCH,,ABOMPE,OBUASI,,243442421,"Manufacture of wearing apparel, except fur apparel"
YESU ADOM STORE,BEHIND BIBLE BELIEVERS CHURCH,,ABOMPE,OBUASI,,243442421,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YESU ADOM STORE,INSIDE THE JUNCTION MARKET OPPOSITE LIGHT CARGOSTATION UNION,NINE MILES ROAD,KUNKA,OBUASI,,244845625,"Manufacture of wearing apparel, except fur apparel"
YESU ADOM STORE,INSIDE THE JUNCTION MARKET OPPOSITE LIGHT CARGOSTATION UNION,NINE MILES ROAD,KUNKA,OBUASI,,244845625,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YESU ADOMSPARE PARTS SHOP,THE JUNCTION MARKET BESIDE MASTER BOLD AND MASTERJOSEPH'S WELDING AND FITTING SHOP,BIMSERE ROAD,KUNKA,OBUASI,,246648944,Sale of motor vehicle parts and accessories
YESU AKWAN COLD STORE,KUNKA NEW TOWN BEHIND MTN MAST,,KUNKA,OBUASI,,542672789,Retail sale of food in specialized stores
YESU DEE FITTING SHOP,BEHIND LENCLAY SPORT STADIUM,,ESTATE,OBUASI,,540687769,Maintenance and repair of motor vehicles
YESU KAE ME CHOP BAR,OPPOSITE OFORIWAA BA ELECTRICAL SHOP,BIMSERE ROAD,KUNKA,OBUASI,,272457700,Restaurants and mobile food service activities
YESU MO FASHION CENTER,ADJACENT H/NO BG17,,BOGOBIRI,OBUASI,,242785876,"Manufacture of wearing apparel, except fur apparel"
YESU MO PROVISIONS STORE,OPPOSITE QUEENCY BEAUTY SALON,BINSERE ROAD,KUNKA,OBUASI,,247711739,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YESU MOGYA YE TUMI STORE,BEHIND NYAME MEDAWASE HOUSE,,MAMIRIWA NO. 2,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
YESU TIASE ELECTRICALS ENTERPRISE,OPPOSITE COUNCIL QUARTERS BESIDE JEMIMA MARTERNITYHOME,CENTRAL STATION ROAD,CENTRAL MARKET NEW NSUTA,OBUASI,"P. O. BOX 123, OBUASI",243485120,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
YESU'S FASHION SHOP,ADJACENT BRO BONNAH'S HOUSE,ANYINAMFIE NANKABA STREET,ANYINAMFIE,OBUASI,,274584930,"Manufacture of wearing apparel, except fur apparel"
YOHANESS KUDA CORN MILL,"AKAPORISO MARKET, BEHIND AFRICAN FAITH",,AKAPORISO,OBUASI,,241333078,Manufacture of grain mill products
YONKODO BEAUTY SALON,TOWARDS THE GAUSU STREAM,,GAUSU,OBUASI,,NULL,Hairdressing and other beauty treatment
YOUR FUTURE IS YOURS ENTERPRISE,ASJACENT FRANSHAG ENTERPRISE ON THE OBUASI HIGHSTREET,OBUASI HIGH STREET,ZONGO,OBUASI,,247948494,Architectural and engineering activities and related technical consultancy
YUSFAT COSMETICS,PLOT NO. ZO 33A,106 OBUASI HIGH STREET,ZONGO,OBUASI,,243607549,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
YUSSIF BARBERING SHOP,BEHIND THE MARKET,ANYINAMFIE ROAD,ANYINAMFIE,OBUASI,,542731931,Hairdressing and other beauty treatment
YVONE'S SHOP,ADJACENT COCOA SHED\\PBC COMPANY LTD 1ST STORE,AKROKERRI ROAD,MANGOASE,OBUASI,,542452291,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
ZAINABU ALI'S HAIR DO,OPPOSITE HOUSE NUMBER NN 84,NEW NSUTA ROAD,NEW NSUTA,OBUASI,,240984097,Hairdressing and other beauty treatment
ZEEHANS DENTAL CLINIC,GOLDEN VIEW PREMISES,ANYINAMFIE ROAD,ANYINAM,OBUASI,"P. O. BOX 316, OBUASI",243853797,Medical and dental practice activities
ZENABU'S SHOP,OPPOSITE HOUSE NO. OC 395 ON ABEBRESE WALK,ABEBRESE WALK,CENTRAL,OBUASI,,264160342,"Manufacture of wearing apparel, except fur apparel"
ZINABU ABDULAI ENTERPRISE,ADJACENT ADOM ARA KWA ENTERPRISE,ABUSCO MAIN ROAD,AKAPORISO,OBUASI,,245902815,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ZIPORAH ASIAMAH'S BEAUTY SALON,BEHIND ZAIN MAST (AIRTEL),ABUSCO ROAD,AKAPORISO,OBUASI,,NULL,Hairdressing and other beauty treatment
ZOOMLION COMPANY,BEHIND AQUA VITENS RAND LTD,,GAUSU,OBUASI,,NULL,Collection of non-hazardous waste
ZURATU ALI'S FASHION,OPPOSITE NIMSABA'S FASHION,,GAUSU,OBUASI,,541644505,"Manufacture of wearing apparel, except fur apparel"
1000 TONGUES DRINKING WATER,,,OBUASI,OBUASI,"P. O. BOX 62, OBUASI",NULL,Manufacture of soft drinks; production of mineral waters and other bottled waters
17 STEPS NITE CLUB,AHANSONYEWODEA JUNCTION TO TOWN ROAD,AHANSONYEWODEA JUNCTION ROAD,AHANSONYEWODEA,OBUASI,,245130013,Beverage serving activities
1ST IMPRESSION BARBERING AND BUSINESS CENTER,ADJACENT THE AIRTEL MAST,BLACK STAR HOTEL STREET,KWABRAFOSO,OBUASI,,249645812,Hairdressing and other beauty treatment
24 HOURS FOOD PLACE,ADJACENT HOUSE NO. 7 B,AMANKYEM ROAD,TUTUKA,OBUASI,"P. O. BOX 772, OBUASI",242561072,Restaurants and mobile food service activities
4 SISTERS 1 BROTHER SALON,OPPOSITE SUPER MAMBO HOTEL,,TUTUKA,OBUASI,,542527072,Hairdressing and other beauty treatment
424  AGENT,ADJACENT SANTIAGO BAR,CENTRAL MARKET ROAD,ABUMU STORE,OBUASI,,543003872,Gambling and betting activities
424 LOTTERY,ADJACENT ASUOSIKA NIGHT CLUB,,KWABRAFOSO,OBUASI,,242522279,Gambling and betting activities
424 LOTTO KIOSK,ADJACNET HOUSE NO. BH/13/B,INDEPENDENCE ROAD,BRAHABEBOME,OBUASI,,243910006,Gambling and betting activities
424 LOTTO SOCIETY,BEHIND ASUOSIKA NIGHT CLUB,,KWABRAFOSO,OBUASI,,247021280,Gambling and betting activities
5 BM CHOP BAR,BEHIND POWER HOUSE -TUTUKA,AMANKYEM ROAD,TUTUKA,OBUASI,,242011494,Restaurants and mobile food service activities
7 DAYS RESTAURANT,,,OBUASI,OBUASI,"P.O.BOX 973, OBUASI",NULL,Restaurants and mobile food service activities
98.1 SPECIAL FOOD,OPPOSITE DOCTOR JESUS SPECIAL FAST FOOD,AMANKYEM ROAD,TUTUKA,OBUASI,,248462782,Restaurants and mobile food service activities
A AND G ENTERPRISE,OPPOSITE EL-SHADDAI COSMETICS,WAWASI HIGH STREET,WAWASI,OBUASI,,546596283,Retail sale of beverages in specialized stores
A LIFE SUPER MARKET,"A LIFE SUPERMARKET, AT OBUASI PRISONS",OBUASI HIGH STREET,FAGUM,OBUASI,"P. O. BOX 10, OBUASI",NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
A. ASAMOAH ENTERPRISE,OPPOSITE SAMMY'S BARBERING SHOP,TUTUKA-AKROFUOM ROAD,TUTUKA,OBUASI,"P. O. BOX 477, OBUASI",543380770,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
A.B.FINANCIAL SERVICES,,,OBUASI,OBUASI,"P.O.BOX 1105, OBUASI",NULL,Other credit granting
A.E.N PROJECTS LIMITED,H/NO.NNB 48/B N/ NYAMEBEKYERE-OBUASI,,OBUASI,OBUASI,"P.O.BOX 13, OBUASI",NULL,Other specialized construction activities
A.G.A.FARMS,,,OBUASI-ADANSI,OBUASI,"P.O.BOX 10, OBUASI-ADANSI",NULL,"Growing of vegetables and melons, roots and tubers"
A.K. ARMAH PHOTO AND VIDEO STUDIO,ADJACENT GHANA EDUCATION OFFICE,EDUCATION ROAD,,OBUASI,,265998555,Other publishing activities
A.S IBRAHIM MECHANIC SHOP,OPPOSITE PADMORE SCHOOL,,KWABRAFOSO,OBUASI,"P. O. BOX 718, OBUASI",246115704,"Sale, maintenance and repair of motorcycles and related parts and accessories"
AARON BENEFOH ENTERPRISE,ADJACENT CATHOLIC CHURCH-BODWESANGO,,OBUASI,OBUASI,"P.O.BOX 528, OBUASI",NULL,Other retail sale of new goods in specialized stores
ABA'S FASHION,CLOSE TO SANTIAGO BUILDING -CENTRAL MARKET,CENTRAL ROAD,ABUMU MARKET STORE,OBUASI,,203045555,"Manufacture of wearing apparel, except fur apparel"
ABA'S SPOT,ADJACENT THE CORN MILL,,WAWASI,OBUASI,,266442588,Beverage serving activities
ABAN DENDEN NE AWURADE,"STORE NO. 7, CENTRAL MARKET",CENTRAL MARKET ROAD,CENTRAL MARKET,OBUASI,,243845732,"Retail sale of clothing, footwear and leather articles in specialized stores"
ABANDINDIN NE YEHOWA ONO NE MEHWEFO,ADJACENT CRYSTAL PALACE SCHOOL,,BRAHABEBOME,OBUASI,,249305107,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
ABASAKESEE AGROCHEMICALS AND TRADING ENTERPRISE,OPPOSITE SANTIAGO RESTAURANT,CENTRAL,CENTRAL,OBUASI,"P. O. BOX 311, OBUASI",246630490,Other retail sale of new goods in specialized stores
ABASS ENTERPRISE,H/NO NN 45 OBUASI,,OBUASI,OBUASI,"C/O P.O.BOX 209, OBUASI",NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABASS MAMUD'S PLACE,KRKIKI BEHIND AGA CLUB HOUSE,,WAWASI,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABAWA'S PROVISIONS SHOP,ADJACENT MR. OSEI'S HOUSE AHANSONYEWDOEA,AHANSONYEWODEA,AHANSONYEWODEA,OBUASI,,242970584,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABDUL ADAMAH,BEHIND MR. ADIYAAH'S CHEMICAL STORE,,BRAHABEBOME,OBUASI,,270932708,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABDUL RAHAMANI MUMUNI'S ALUMINIUM POT MAKING SHOP,ADJACENT JAGUAR SPOT,ENEFEL SCHOOL,GAUSU EXTENSION,OBUASI,,246805131,Manufacture of other fabricated metal products n.e.c.
ABDUL TAILORING SHOP,OPPOSITE 98.1 SPECIAL FAST FOOD,AKROFUOM ROAD,TUTUKA,OBUASI,,245379049,"Manufacture of wearing apparel, except fur apparel"
ABDULLAI PROVISIONS STORE,ADJACENT HOUSE NO. TT/46/D TUTUKA,AMANKYEM ROAD,TUTUKA,OBUASI,,248710546,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
