ESTABLISHMENT NAME,EXACT LOCATION,STREET ADDRESS,SUBURB,TOWN NAME,POSTAL ADDRESS,TELEPHONE NO.,EMAIL,SECTOR,SIZE,,,,
ABDUL RAHAMAN WELDING SHOP,NEXT SHOP TP MASTER ABASS MOTOR SHOP,BAKWU ROAD,GARACHE AREA,GUSHEGU,,0203016024,,INDUSTRY,A,,,,
ABDUL RAZAK ZAKARIA CHEMICAL SHOP,OPPOSITE CENTRAL MOSQUE,SALAA ROAD,NAYILI FONG,GUSHEGU,,0209855441,,SERVICE,A,,,,
ABDUL-AZIZ GRINDING MILL,BEHIND EASTERN CORRIDOR HOTEL,ZANTELI ROAD,YESHELANYILI,YESHELANYILI,,,,INDUSTRY,A,,,,
ABDUL-BASIT CORN MILL,INFRONT OF KPADOO YILI,,ZINIDO,ZINIDO,,,,INDUSTRY,A,,,,
ABDUL-RAHAMAN CORN MILL,INFRONT OF WASHING BAY ON YOUR WAY TO DISTRICT ASSEMBLY,DISTRICT ASSEMBLY ROAD,NAKOHIGU FONG,GUSHEGU,,0241051055,,INDUSTRY,A,,,,
ABDUL-RAHAMAN DRINDING MILL,INFRONT OF ABDUL-RAHAMAN HOUSE,GBUNDRI NABULI ROAD,MORGU,MORGU,,0548480409,,INDUSTRY,A,,,,
ABDUL-RAHAMANA'S CORN MILL,ABDUL-RAHAMAN HOUSE JATENI,,JATENI,JATENI,,,,INDUSTRY,A,,,,
ABDUL-RAMANI CORN MILL,ABDUL-RAHAMAN HOUSE LAKPRI,,LAKPRI,LAKPRI,,,,INDUSTRY,A,,,,
ABDUL-RAZAK STORE,OPPOSITE TUYANAYILI,KARAGA ROAD,TINYOGU,TINYOGU,,0507680812,,SERVICE,A,,,,
ABDUL-SAMADIA BROTHERS SHOP,OPPOSITE CARE VISION,KARAGA ROAD,NAYILIFONG,GUSHEGU,,0201512445,,INDUSTRY,A,,,,
ABDULAI CORN,ABDULAI'S HOUSE KPANSHEGU CLOSER TO CHIEF PALACE,KPANSHEGU ROAD,KPANSHEGU,KPANSHEGU,,0549123444,,INDUSTRY,A,,,,
ABDULAI CORN MILL,ABDULAI HOUSE BAMBULI NO 2,,BAMBULI,BAMBULI,,,,INDUSTRY,A,,,,
ABDULAI FATAWU,ADJACENT POST OFFICE,SALAA ROAD,NAKOHIGU FONG,GUSHEGU,,0200569882,,SERVICE,A,,,,
ABDULAI FUSEINI PROVISION STORE,GUSHEGU ROAD ON YOUR RIGHT,GUSHEGU ROAD,YESHIE,YENHIE,,0541250271,,SERVICE,A,,,,
ABDULAI GOMDA CORN MILL,INFRONT OF MARKAZIA HEAD TEACHER QUARTERS,KUNNAAYILI ROAD,YAGLAN FONG,GUSHEGU,,0507466720,,INDUSTRY,A,,,,
ABDULAI GRINDING MILL,DALABRA ABDULAI'S HOUSE,CHIEF HOUSE ROAD,NALOGO TALOLI,NALOGU,,,,INDUSTRY,A,,,,
ABDULAI GRINDING MILL,OPPOSITE ABDULAI'S HOUSE,WAAWU ROAD,LUNLUWA,LUNLUWA,,,,INDUSTRY,A,,,,
ABDULAI JALIL ELECTRICALS,BEHIND KEY DORTOR,YENDI ROAD,LIMAN FONG,GUSHEGU,,0502335303,,SERVICE,A,,,,
ABDULAI KATIRIGARI POULTRY,AHAMUDU KPATILI HOUSE,DISTRICT ASSEMBLY ROAD,NAKOHIGU FONG,GUSHEGU,,0208428332,,AGRICULTURE,A,,,,
ABDULAI MOHAMMED MOSQUE,BEHIND MAHAMUDU KPATILI HOUSE,DISTRICT ASSEMBLY ROAD,NAKOHIGU FONG,GUSHEGU,,0203428332,,SERVICE,A,,,,
ABDULAI PROVISION STORE,ADJACENT AFA ZAKARIA HOUSE,YENDI ROAD,KPATINGA,KPATINGA,,0200720877,,SERVICE,A,,,,
ABDULAI YUSSIF,INFRONT OF NAGAANLAN HOUSE,HOSPITAL ROAD,GARICHE FONG,GUSHEGU,,0508687244,,SERVICE,A,,,,
ABENH DRINKING BAR,GUSHEGU ROAD ON YOUR RIGHT HAND SIDE,GUSHEGU ROAD,YAWUNGU,YAWUNGU,,,,SERVICE,A,,,,
ABIBATA'S STORE,OPPOSITE CHAIRMAN ABDULAI'S FILLING STATION,PONG TAMALE ROAD,LIMAN YILI FONG,GAA,,0200572977,,SERVICE,A,,,,
ABIBATU BERDO BARKERY ENT,INFRONT OF DISTRICT EDUCATION OFFICE,DISTRICT ASSEMBLY ROAD,NAKOKGU,GUSHEGU,,0549361790,,INDUSTRY,A,,,,
ABRAHAMANI'S FUEL STORE,LEFT HAND SIDE OF DIKPUNG,KATANI ROAD,DIKPUNG,DIKPUNG,,0544427963,,SERVICE,A,,,,
ABRAHAMANI'S MOSQUE,ABRAHAMANI HOUSE LEFT HAND SIDE OF KATANI ROAD,KATANI ROAD,DIKPUBG,DIKPUNG,,0544427963,,SERVICE,A,,,,
ABU BICYCLE STORE,BEHIND BABA'S HOUSE,GUSHEGU ROAD,KPATINGA,KPATINGA,,,,SERVICE,A,,,,
ABU ENT,OPPOSITE ELECTROAL COMMISSION OFFICE,KARAGA ROAD,YAGLAN FONG,GUSHEGU,,0246862698,,SERVICE,A,,,,
ABU SADICK TAILORING SHOP,ADJACENT ALFA STORE,SALAA ROAD,NAKOHIGU FONG,GUSHEGU,,0247444580,,INDUSTRY,A,,,,
ABU'S CORN MILL MACHINE,OPPOSITE NAYILI FONG NBA ABU'S HOUSE,MANCHERI ROAD,NAWUHIGU,NAWUHIGU,,,,INDUSTRY,A,,,,
ABU'S SPECIAL RICE,BEHIND BABA'S HOUSE,GUSHEGU ROAD,KPATINGA,KPATINGA,,0503195690,,SERVICE,A,,,,
ABUBAKARI CARPENTRY SHOP,OPPOSITE AFA IBRAHIM FILLING STATION,YENDI ROAD,NAKOHIGU FONG,GUSHEGU,,0205356597,,INDUSTRY,A,,,,
ABUBAKARI IDDRISU GRINDING MILL,OPPOSITE ABUBAKARI MOSQUE,WOENCHIKI ROAD,ZONGO AREA,NABULI,,0507562362,,INDUSTRY,A,,,,
ABUBAKARI IDDRISU MOSQUE,ZONGO AREA NEAR THE MARKET,WOENCHIKI ROAD,ZONGO,NABULI,,0507562362,,SERVICE,A,,,,
ABUBAKARI MOSQUE,INFRONT OF ABUBAKARI HOUSE,BOGU ROAD,BANDA FON,BANDA FON,,,,SERVICE,A,,,,
ABUBAKARI TAILORING SHOP,ABUBAKARI HOUSE,NASANDI ROAD,WAAWU,WAAWU,,,,INDUSTRY,A,,,,
ABUDU GRINDING MILL,ABUDU'S HOUSE,,GBANI,GBANI,,,,INDUSTRY,A,,,,
ABUDU GRINDING MILL,ABUDU YAO'S HOUSE,,NALOGU TALOLI,NALOGU,,,,INDUSTRY,A,,,,
ABUKARI ABDUL-RAZAK GRINDING MILL,ABDUKARI ABDUL-RAZAK HOUSE,YENDI GUSHEGU ROAD,WANTUGU,WANTUGU,,0505725792,,INDUSTRY,A,,,,
ABUKARI ADAMU STORE,MARKET STORE NUMBER C5,SALAA ROPAD,GARRICHE FONG,GUSHEGU,,0207813156,,SERVICE,A,,,,
ABUKARI AYISHETU STORE,OPPOSITE NPP OFFICE,SALAA ROAD,MARKET STORES,GUSHEGU,,0205847731,,SERVICE,A,,,,
ABUKARI GRINDING MACHINE,ADJCENT AFA ISSAH HOUSE,YENDI ROAD,KPATINGA,KPATINGA,,0245114103,,INDUSTRY,A,,,,
ABUKARI GRINDING MILL,ABUKARI HOPUSE,NALOGU ROAD,NYORIN,NYORIN,,,,INDUSTRY,A,,,,
ABUKARI PLASTIC STORE,OPPOSITE NAYILI FONG CENTRAL MOSQUE,SALAA ROAD,NAYILI FONG,GUSHEGU,,0203202127,,SERVICE,A,,,,
ABUKARI SPARE PARTS,BEHIND KORIMAAYILI,KPATING GAA ROAD,MAAZIJUNG,KPATINGA,,0208087615,,SERVICE,A,,,,
ABUKARI WADUDU SMOCK SEWING CENTER,OPPOSITE NAPAGBILI HOUSE,BAWKU ROAD,GARICHE FONG,GUSHEGU,,0246000328,,INDUSTRY,A,,,,
ABUKARI WELDING SHOP,OPPOSITE WATERNIA DAY CARE,YENDI ROAD,LIMAN AREA,GUSHEGU,,0203233006,,INDUSTRY,A,,,,
ABUKARI YATASU,OPPOSITE POST OFFICE,YENDI ROAD,POST OFFICE,GUSHEGU,,0544380657,,SERVICE,A,,,,
ABUKARI'S CORN MILL,ABUKARI'S HOUSE BAMBULI NO 2,BAMBULI ROAD,BAMBULI,BAMBULI,,,,INDUSTRY,A,,,,
ABUKARI'S CORN MILL,ABUKARI HOUSE CLOSER TO KATANI ROAD,,DIKPUNG,DIKPUNG,,0241125241,,INDUSTRY,A,,,,
ABUKARI'S FABRICATION SHOP,OPPOSITE NAWUHIGU CENTRAL MOSQUE,KATANI ROAD,NAWUHUGU,NAWUHUGU,,0207556799,,INDUSTRY,A,,,,
ABUKARI'S PROVISION STORE,LEFT HAND SIDE OF KATANI ROAD IN DIKPUNG,,DIKUNG,DIKPUNG,,0241125241,,SERVICE,A,,,,
ABUMAH ENT,OPPOSITE TIZAA RURAL BANK,HOSPITAL ROAD,LIMAN FONG,GUSHEGU,,0200647700,,SERVICE,A,,,,
ACHIRIYILI MOSQUE,ADJACENT DIGDOOYILI,SAGULI ROAD,SAGULI,SAGULI,,0540446820,,SERVICE,A,,,,
ADAM AZARA PROVISION STORE,ON YOUR LEFT HAND SIDE,GUSHEGU ROAD,KPUGI,KPUGI,,0507466880,,SERVICE,A,,,,
ADAM BALCHISU PROVSION SHOP,HOSPITAL MAIN GATE,HOSPITAL ROAD,DISTRICT HOSPITAL,GUSHEGU,,0206322285,,SERVICE,A,,,,
ADAM BARAKA,OPPOSITE FORMER DCE HOUSE,BAWKU ROAD,GARICHE FONG,GUSHEGU,,0249798450,,SERVICE,A,,,,
ADAM CORN MILL,INFRONT OF ADAM'S HOUSE,,YIYAMBA,YIYAMBA,,,,INDUSTRY,A,,,,
ADAM GRINDING MILL,BOTINGNA'S HOUSE,PUMO ROAD,TUGBANG,TUGBANG,,0245425420,,INDUSTRY,A,,,,
ADAM GRINDING MILL,INFRONT OF BISUGRI ADAM HOUSE,KATANI NABULI ROAD,NANYIRI,NANYIRI,,,,INDUSTRY,A,,,,
ADAM KPANLAN YILI'S FILLING STATION,INFRONT OF YILPAN DANA'S HOUSE,KPATINGA ROAD,JAHINFO FONG,ZORI,,0506690197,,SERVICE,A,,,,
ADAM MUNIRU PROVISION STORE,YENDI GUSHEGU ON THE LEFT,GUSHEGU YENDI ROAD,WANTUGU,WANTUGU,,0246922161,,SERVICE,A,,,,
ADAM SHEBOO ENT,INFRONT OF YAPLISI NAA HOUSE,,ZINIDO,ZINIDO,,,,SERVICE,A,,,,
ADAM'S CORN MILL,ADAM'S HOUSE BAMBULI NO 2,WAKPANG ROAD,BAMBULI,BAMBULI,,,,INDUSTRY,A,,,,
ADAM'S DRINKS STORE,NORTH SIDE THE MARKER,,MANCHERI,MANCHERI,,,,SERVICE,A,,,,
ADAM'S FUEL STATION,OPPOSITE NAWUHIGU MARKET,KATANI ROAD,NAWUHUGU,NAWUHUGU,,0200931943,,SERVICE,A,,,,
ADAMBILA'S GRINDING MILL,AFTER NAGNAN SCHOOL,GBINTIRI ROAD,NAMBOSO,NAMBOSO,,0548496049,,INDUSTRY,A,,,,
ADAMU KANTON NBAR,ADJACENT KOFI DRUGS STORE,HOSPITAL ROAD,LIMAN FONG,GUSHEGU,,0207088525,,SERVICE,A,,,,
ADARATU ABUKARI SHOP,OPPOSITE ALHAJ MAHAMA KURGLI HOUSE,BAKWU ROAD,GARECHE AREA,GUSHEGU,,0207088692,,SERVICE,A,,,,
ADDI ENTERPRISE,OPPOSITE G.E.S OFFICE,KARAGA ROAD,NAAYILI FONG,GUSHEGU,,0242081856,,SERVICE,A,,,,
ADDI ENTERPRISE,OPPOSITE GHANA EDUCATION SERVICE OFFICE,KARAGA ROAD,NAYILIFONG,GUSHEGU,,0242081856,,SERVICE,A,,,,
ADISA TAILORING SHOP,INFRONT OF JACOBAYORUBA HOUSE,YENDI ROAD,LIMANFONG,GUSHEGU,,0205978851,,INDUSTRY,A,,,,
ADISA'S TAILORING SHOP,ADJACENT STEPHENS STORE,DISTRICT ASSEMBLY ROAD,NAKOHIGU FONG,GUSHEGU,,0200475066,,INDUSTRY,A,,,,
ADISAA'S MINERALSSTOR,OPPOSITE ALHAJ ADAM HOUSE,GUSHEGU ROAD,KTATINGA,KPATINGA,,0247796650,,SERVICE,A,,,,
ADISAH PROVISION STORE,CLOSE TO THE CENTRAL MOSQUE,GUSHEGU ROAD,KPUGI,KPUGI,,,,SERVICE,A,,,,
ADISAH'S CHOP BAR,WITHIN THE MARKET,,MANCHERI,MANCHERTI,,,,SERVICE,A,,,,
ADUYILI L/A PRIMARY SCHOOL,OPPOSITE AZINDOW GRINDING MILL,NASANDI ROAD,ADUYILI,ADUYILI,,0245444418,,SERVICE,A,,,,
AF GURUNDOW'S MOSQUE,INFRONT OF AFA GURUNDOW'S HOUSE,,KPARO,KPARO,,,,SERVICE,A,,,,
AFA ABDULAI LEATHER WORKS SHOP,OPPOSITE GUSHEGU MARKET,SALAA ROAD,NAKOHIGU FONG,GUSHEGU,,0240468037,,INDUSTRY,A,,,,
AFA ABDULAI MOSQUE,ADJACENT ZIBLIM BOGU HOUSE,DAM ROAD,NAKOHIGU FONG,GUSHEGU,,0201670377,,SERVICE,A,,,,
AFA ABDULAI'S MOSQUE,AFA ABDUKARI'S HOUSE NACHINAA FONG,NACHINAA FON G ROAD,NAWHUGU,NAWUHUGU,,0507277147,,SERVICE,A,,,,
AFA ABDULAI'S MOSQUE,AFA ABDULAI HOUSE LEFT HAND SIDE OF THE MARKET,KATANI ROAD,NAWUHUGU,NAWUHUIGU,,,,SERVICE,A,,,,
AFA ADAMS SHOP,ADJACENT POST OFFICE,SALAA ROAD,NAKOHIGU,GUSHEGU,,0208721218,,SERVICE,A,,,,
AFA ALHASSAN MOSQUE,OPPOSITE CHIRIFOYILI,BOGO ROAD,KPANASHEI,KPANASHEI,,0542335283,,SERVICE,A,,,,
AFA ALHASSAN MOSQUE,AFA ALHASSAN HOUSE BEHIND KANDANG BITTERS STORE,KUNNAAYILI ROAD,KUNNAAYILI,GUSHEGU,,0506676622,,SERVICE,A,,,,
AFA ALI MANIKA STORE,BEHIND MR MVDEE HOUSE,KUNNAAYILI ROAD,YAGLANFONG,GUSHEGU,,0507466720,,SERVICE,A,,,,
AFA ALIDU'S MOSQUE,ADJACENT TO MANCHERI MARKET,NAWUHUGU ROAD,MANCHERI,MANCHERI,,,,SERVICE,A,,,,
AFA AMADU'S MAINER STORE,OPPOSITE WATCHMAN'S HOUSE,KARAGA ROAD,NAYILI FONG,GAA,,0502177222,,SERVICE,A,,,,
AFA AMIYAWU PROVISION STORE,BEHIND KPALU HOUSE,KPATINGA GAA ROAD,KPATINGA,KPATINGA,,0547843225,,SERVICE,A,,,,
AFA AWAL ENTERPRISE,ADJACENT NPP PARTY OFFICE,KPATINGA GAA ROAD,KPATINGA,KPATINGA,,0547844439,,SERVICE,A,,,,
AFA BABA'S STORE,INFRONT OF GUNDAA NAA' HOUSE,PONG TAMALE ROAD,LIMAN FONG,GAA,,0500460439,,SERVICE,A,,,,
AFA BRAIMAH STORE,"NAGNUNI'S HOUES, INFRONT OF NAGNUN'S H/S",NAGNUNI ROAD,,NAKOHUGU FONG,,0242824004,,SERVICE,A,,,,
AFA DAWUDA PROVISION STORE,BEHIND LIMAM HOUSE,KPATINGA GAA ROAD,KPATINGA,KPATINGA,,0541498948,,SERVICE,A,,,,
AFA FUSEINI GINLI MOSQUE,BEHIND SORIPA BICYCLE FITTING SHOP,NAGWUNI ROAD,NAKOHIGU FONG,GUSHEGU,,0209576490,,SERVICE,A,,,,
AFA FUSEINI STORE,BEHIND MONKWAYILI,BOGO ROAD,KPANASHEI,KPANASHEI,,0246125892,,SERVICE,A,,,,
AFA FUSEINI'S MOSQUE,BEHIND BOB'S FILLING STATION,PONG TAMALE ROAD,BAASI FONG,GAA,,0241070495,,SERVICE,A,,,,
AFA GIA MOSQUE,OPPOSITE TUNAA HOUSE,KPANASHEI ROAD,MANDA,MANDA,,0240489643,,SERVICE,A,,,,
AFA HAFIZ FUEL SHOP,INFRONT OF CENTRAL MOSQUE,,NAYUGU,NAYUGU,,0208563297,,SERVICE,A,,,,
AFA HARDI STORE,OPPOSITE MAHAMADU HOUSE,DAM ROAD,NAKOHIGU FONG,GUSHEGU,,0206478794,,SERVICE,A,,,,
AFA HARDI TAILORING SHOP,OPPOSITE CARE VISION BUILDING,KARAGA ROAD,NAKOHIGU,GUSHEGU,,0203497717,,INDUSTRY,A,,,,
AFA HARUNA ZEI'S STORE,ADJACENT MBA ISSAHAKU'S HOUSE,KPATINGA ROAD,NAYILI FONG,GAA,,0200383151,,SERVICE,A,,,,
AFA IDDRISU ENTERPRISE,ATTACHED TO AFA BABA'S HOUSE,SAKPE ROAD,KPATINGA,KPATINGA,,0543192875,,SERVICE,A,,,,
AFA ISSAH MOSQUE,NEAR AFA ISSAH HOUSE,BOGO ROAD,KPANASHEI,KPANASHEI,,0240504710,,SERVICE,A,,,,
AFA ISSAHAKU MOSQUE,DALABRA ISSAHAKU'S HOUSE,,NALOGU TALOLI,NALOGU,,0544733177,,SERVICE,A,,,,
AFA ISSIF GRINDING MILL,INFRONT OF ADUWLANA HOUSE,,NAYUGU,NAYUGU,,0505891751,,INDUSTRY,A,,,,
AFA LATIFU TAILORING SHOP,BEHIND AFA ISSAHAKU CHEMICAL DRUGS,YENDI ROAD,NAKOHIGU FONG,GUSHEGU,,0206788873,,INDUSTRY,A,,,,
AFA MOHAMMED LIMANYILI STORE,OPPOSITE WATANIA DAY CARE,SALAA ROAD,NAKOHIGUFONG,GUSHEGU,,0502859558,,SERVICE,A,,,,
AFA MORO MOSQUE,MORO SAFIANU'S HOUSE,MORO SAFIANU'S HOUSE  ROAD,NALOGU,NALOGU,,,,SERVICE,A,,,,
AFA MUMUNI MOSQUE,NEAR  AFA MUMUNI HOUSE,JIJO ROAD,BOGO,B OGO,,0240507478,,SERVICE,A,,,,
AFA MUSAH'S MOSQUE,AFA MUSAH'S HOUSE NEAR EVAGELICAN CHURCH OF GHANA,DINYUGU ROAD,MANCHERI,MANCHERI,,0248337790,,SERVICE,A,,,,
AFA MUSTAPHA TAILORING SHOP,ADJACENT POST OFFICE,SALAA ROAD,NAKOHIGU FONG,GUSHEGU,,0208561750,,INDUSTRY,A,,,,
AFA MUTALA GRINDING MILL,50 METERS AWAY FROM THE CENTRAL MOSQUE,KARAGA ROAD,NAYILIFONG,GUSHEGU,,0242267944,,INDUSTRY,A,,,,
AFA MUTALA HAIR CUT,OPPOSITE CAMEED ICT CENTER,HOSPITAL ROAD,GARICHEFONG,GUSHEGU,,0203200021,,SERVICE,A,,,,
AFA NASHIRU'S GRINDING MILL,BEHIND SAMPEMO NAIMI'S HOUSE,GUSHEGU ROAD,KPATINGA,KPATINGA,,0245189284,,INDUSTRY,A,,,,
AFA OLU ENTERPRISE,ADJENT FORMER DCE HOUSE,HOSPITAL ROAD,HOSPITAL AREA,GUSHEGU,,0203171775,,SERVICE,A,,,,
AFA OSMAN TAILOR SHOP,CLOSE TO BAWKU ROAD JUNCTION,POLICE STATION ROAD,LIMAN FONG,GUSHEGU,,0249959809,,INDUSTRY,A,,,,
AFA OSMAN TAILORING SHOP NUMBER ONE,OPPOSITE ADADU KANTON BAR,YENDI ROAD,LIMANA FONG,GUSHEGU,,0246771108,,INDUSTRY,A,,,,
AFA OSMAN'S FILLING STATION,ADJACENT AFA AMADU'S MINERALS STORE,KARAGA ROAD,NAYILI FONG,GAA,,0208702614,,SERVICE,A,,,,
AFA RAY STORE,ADJACENT AFA STORE MAIN MARKET,SALAA ROAD,NAKOHIGU FONG,GUSHEGU,,0245053382,,SERVICE,A,,,,
AFA SUALE PROVISION STORE,INFROM OF BULUGU CENTRAL MOSQUE OPPOSITE SAYIBU HOUSE,GUSHEGU-KPATINGA ROAD,BULUGU,BULUGU,,0208726568,,SERVICE,A,,,,
AFA SUALE'S FILLING STATION,ADJACENT NNP PARTY PAVILION,SAKPE-TAMALE ROAD,NYEWARA FONG,SAMPEMO,,0246857603,,SERVICE,A,,,,
AFA SUALE'S MOSQUE,BEHIND AFA BABA ZUGU'S HOUSE,PONG TAMALE ROAD,NSIM NI BOMA FONG,GAA,,0209312216,,SERVICE,A,,,,
AFA SULLEY PROVISION STORE,ADJACENT MAHAMA'S FILLING STATION,BOGU ROAD,BANDA FON,BANDA FON,,,,SERVICE,A,,,,
AFA SUMAILA'S DRUG STORE,INFRONT OF KPESINGA CHIEF'S PALACE,GUSHEGU ROAD,KPESINGA,KPESINGA,,0245850215,,SERVICE,A,,,,
AFA YAKUBU CORN MILL,ADJACENT MARKAZIA JUNIOR HIGH SCHOOL,KUNNAAYILI ROAD,KUNNAAYILI,KUNNAAYILI,,0206868221,,INDUSTRY,A,,,,
AFA YAKUBU MOSQUE,AT THE ROAD SIDE TO BULUGU KUKONAA'S HOUSE,,NAWUNI,NAWUNI,,0507466074,,SERVICE,A,,,,
AFA ZAKARIA DRUGS STORE,ON YOUR RIGHT WHEN COMING IN,GUSHEGU ROAD,YESHIE,YESHIE,,0507556133,,SERVICE,A,,,,
AFA ZIBLILA TAILORING SHOP,INFRONT OF KANGBAGLAH HOUSE,HOSPITAL ROAD,GARECHE FONG,GUSHEGU,,0203805493,,INDUSTRY,A,,,,
AGUM JAKPUAR GRINDING MILL,INFRONT OF AGUM JAKPRAR HOUSE,GBUNDRI NABULI ROAD,OBARADE,OBARADE,,,,INDUSTRY,A,,,,
AHMED ENTERPRISE,OPPOSITE MARKET STORES LANE C BLOCK,SALAA ROAD,NAKOHUGU FONG,GUSHEGU,,0205666004,,SERVICE,A,,,,
AHMED SHOP,NEAR L/A PRIMARY SCHOOL,MARKET ROAD,GARECHE FONG,GUSHEGU,,0547061951,,SERVICE,A,,,,
AIUBA BARBAR SHOP,ADJACENT AGAJU FITTERING SHOP,YENDI ROAD,LIMAN AREA,GUSHEGU,,0249959279,,SERVICE,A,,,,
AKANA SHEEP FARM,20 METERS FROM TUNG TELYTA SHEABUTTER FACTORY,,KPATILI,KPATILI,,0243072132,,AGRICULTURE,A,,,,
AKONSI GRINDING MILL,BEHIND AZINDOW HOUSE,,GINWOO,GINWOO,,,,INDUSTRY,A,,,,
AKOS'S DRINKS STORE,CLOSER TO THE CHIEF PALACE,MARKET ROAD,MANCHERI,MANCHERI,,,,SERVICE,A,,,,
AKUA'S TAILOR SHOP,OPPOSITE R/A PRIM ARY SCHOOL,KPATINGA ROAD,KAMIMO,KAMIMO,,0240431814,,INDUSTRY,A,,,,
AL-ZULPHAR COMPANY LIMITED,MARKET STORE NO C46,LORRY PARK ROAD,MARKET STORE,GUSHEGU,,0542057622,,SERVICE,A,,,,
ALABANI PROVISION STORE,OPPOSITE KOLIBGILANYILI,GUNLAAYILI ROAD,KPATINGA,KPATINGA,,0547232260,,SERVICE,A,,,,
ALAHAMMADA FARM LIMITED,BEHING POST OFFICE,SALAA ROAD,NAKOHIGU FONG,GUSHEGU,,0242346595,,SERVICE,A,,,,
ALARU'S CORN MILL,ALARU'S HOUSE DIKPUNG,,DIKPUBG,DIKPUNG,,,,INDUSTRY,A,,,,
ALFA STORE,ADJACENT JUSTICE STORE,SALAA ROAD,NAKOHIGU FONG,GUSHEGU,,0242105284,,SERVICE,A,,,,
ALFRED DARKO CHEMICAL STORE,OPPOSITE OIC BULDING,GUSHEGU ROAD,KPATINGA,KPATINGA,,0246986733,,SERVICE,A,,,,
ALFRED DARKO PROVISION STORE,OPPOSITE OIE BULDING,GUSHEGU ROAD,KPATINGA,KPATINGA,,0246986733,,SERVICE,A,,,,
ALFRED DARKO'S PROVISION STORE,OPPOSITE NDC CHAIRMAN'S HOUSE,KPATINGA GAA ROAD,KPATINGA,KPATING A,,0246986733,,SERVICE,A,,,,
ALHAJ RABIU ENT,OPPOSITE TAILOR YILI,YENDI ROAD,LIMAN FONG,GUSHEGU,,0205579205,,SERVICE,A,,,,
ALHAJI FUEL STORE,ADJACENT TAMI'S PROVISION STORE,,DAMANKUNG,DAMANKUNG,,0546657222,,SERVICE,A,,,,
ALHAJI GRINDING MILL,BY THE MAIN ROAD ADJACENT ZARATU HOUSE,SAGULI ROAD,GALWEI,GALNEI,,0509061764,,INDUSTRY,A,,,,
ALHAJI MOHAMMED MOSQUES,INFRONT OF AMADU BILA HOUSE,CENTRAL MOSQUE ROAD,NAKUHIGU FONG,GUSHEGU,,0205800116,,SERVICE,A,,,,
ALHAJI TAHIDU'S MOSQUE,INFRONT OF ZAKPALSI DOO YILI,KPATINGA ROAD,NAYILI FONG,GAA,,0203669206,,SERVICE,A,,,,
ALHAJI TAILORING SHOP,CLOSE TO MAHAMADU ABATTOIRE,,NAYUGU,NAYUGU,,0503409244,,INDUSTRY,A,,,,
ALHAJI YAKUBU'S MOSQUE,RIGHT HAND SIDE OF THE MARKET ROAD,MARKET ROAD,NAWUHUGU,NAWUHUGU,,0209837037,,SERVICE,A,,,,
ALHASSAN AFESHETU SHOP,OPPOSITE NPPARTY OFFICE,SALAA ROAD,MARKET STORES,GUSHEGU,,0200064995,,SERVICE,A,,,,
ALHASSAN CHEMICAL STORE,OPPOSITE CHIEF PALACE,KPATINGA CHIEF PALACE ROAD,KPATINGA,KPATINGA,,0542536464,,SERVICE,A,,,,
ALHASSAN FUEL SHOP,INFRONT OF AYISHETU GRANDING MILL,,NAKUNGU,NAKUNGU,,0205356692,,SERVICE,A,,,,
ALHASSAN GBAMBU STORE,SAME BUILDING WITH DABOYA AGRO CHEMICAL STORE,YENDI ROAD,LIMAN AREA,GUSHEGU,,0202394250,,SERVICE,A,,,,
ALHASSAN GRINDING MILL,ALHASSAN WONS'S HOUSE,,KULKPANGA,KULKPANGA,,0245526552,,INDUSTRY,A,,,,
ALHASSAN GRINDING MILL,INFRONT OF JATOYILI,KAMIMO ROAD,SUAYA,SUAYA,,,,INDUSTRY,A,,,,
ALHASSAN JAA ENTERPRISE,OPPOSITE MUDI'S ENT,,ZINIDO,ZINIDO,,0542822706,,SERVICE,A,,,,
ALHASSAN MAHAMMAH CHEMICAL STORE,INFRONT OF COW MARKET MBORIGU STATION,YENDI ROAD,NAKOHIGU FONG,GUSHEGU,,0204853400,,SERVICE,A,,,,
ALHASSAN MOSQUE,BEHIND NAKUALANA NGRINDING MILL,KARAGA ROAD,NYENSUNG,NYENSUNG,,,,SERVICE,A,,,,
ALHASSAN NAGMALANYILI GRINDING MILL,GUSHEGU YAWUNGU ROAD RIGHT HAND SIDE,YAWUNGU ROAD,KPUGI,KPUGI,,,,INDUSTRY,A,,,,
ALHASSAN NENDOO GRINDING MILL,TUUNAA HOUSE,ZAMASHEGU ROAD,ZAMASHEGU,ZAMASHEGU,,0548743388,,INDUSTRY,A,,,,
ALHASSAN PANPAGU SHOP,OPPOSITE GUSHEGU D/A JSS,BAWKU ROAD,POLICE STATION,GUSHEGU,,0200438029,,INDUSTRY,A,,,,
ALHASSAN SALIMU TRADING CENTER,INFRONT OF FORMER DCE FARMILY HOUSE,BAWKU ROAD,GARICHE ROAD,GUSHEGU,,0207860484,,SERVICE,A,,,,
ALHASSAN STORE,BEHIND WULANAS HOUSE NO. K2,KUNNAAYILI ROAD,KUNNAAYILI,GUSHEGU,,0209737392,,SERVICE,A,,,,
ALHASSAN ZABZUGU SLAUGHTER HOUSE,ADJACENT POST OFFICE,SALAA ROAD,NAKOHIGU FONG,GUSHEGU,,0246206027,,SERVICE,A,,,,
