ESTABLISHMENT NAME,EXACT LOCATION,STREET ADDRESS,SUBURB,TOWN NAME,POSTAL ADDRESS,PHONE,EMAIL,SECTOR,SIZE,
LYDIA KUKEBA SPOT,OPPOSITE SPEED LINK RESTAURANT ADJACENT GNAT OFFICE,BOLGATANGA TAMALE ROAD,BOLGATANGA ZONGO,BOLGATANGA,"P. O. BOX 10, BOLGATANGA",0203268715,,SERVICE,A,
LYDIA PROVISION SHOP,NEAR TAXI RANK,BAWKU ROAD,OLD ZONGO,BOLGATANGA,,0202247276,,SERVICE,A,
LYDIA WIAFE STORE,MAIN LORRY STATION NEAR MAWULI'S CHOP BAR,BOLGA BAWKU ROAD,DAPORTINDONGO,BOLGATANGA,,0504441415,,SERVICE,A,
LYDIA'S FOOD JOINT,DIRECTIY BEHIND KULBIA AND TEEM SCHOOL,BOLGA NAVRONGO ROAD,SUMBRUNGU KULBIA ANATEEM,SUMBRUNGA KULBIA ANATEEM,,,,SERVICE,A,
LYDIA'S PROVISIONAL SHOP,THE JUNCTION BETWEEN TIERTAA & YABCO CAR WASHING,BOLGATANGA POLYTHECNIC ROAD,BOLGA YEKINI,BOLGATANGA,,0508900891,,SERVICE,A,
M MARSERATI ENTERPRISE,ESTATE JUNCTION WASHING BAY OPPOSITE,BOLGA TAMALE ROAD,ESTATE TINDONMOLGO,BOLGATANGA,,0209022522,,SERVICE,A,
M PAPA FITERING SHOP,DIRECTLY OPPOSITE GHANA FIRE SERVICE,BOLGA BAWKU ROAD,SAWABA,BOLGATANGA,,0265025100,,SERVICE,A,
M.A.AMANA CONSTRUCTION WORKS,,,BOLGATANGA,BOLGA,"P. O. BOX 10, BOLGATANGA",,,INDUSTRY,A,
MA SHAIBU FULIRA STORE,OPPOSITE NASONA FILLING STATION,STANBIC BANK ADB ROAD,DAPORTINDONGO,BOLGATANGA,,0245436522,,SERVICE,A,
MA-NASH ENTERPRISE,,,BOLGATANGA,BOLGA,"P. O. BOX 126, BOLGATANGA",,,SERVICE,A,
MAADI'S FASHION SHOP,NEAR MACLEAN VIEW RESTAURANT,ALONG STADIUM LIBRARY ROAD,BUKERE,BOLGATANGA,"C/O P. O. BOX 30, BOLGA",0208384608,,INDUSTRY,A,
MAAME ALL STARS SALON,NEAR FREE AND FAIR DRINKING SPOT CLOSER TO E.C OFFICE,HOSPITAL WAEC ROAD,ZAARE,BOLGATANGA,,0249033507,,SERVICE,A,
MAAME ENTERPRISE,INSIDE OLD MARKET BOT/BC8,COMMERCIAL STREET,ATULBABISI,BOLGATANGA,,0207444336,,SERVICE,A,
MAAME K'S VENTURES,NEAR AWOGYA PRIMARY CARO'S HOUSE,BETWEEN AWOGYA PATH TO CARO'S HOUSE,BUKERE,BOLGATANGA,"C/O P. O. BOX 19, BOLGA",0208741924,,SERVICE,A,
MAAME NYARKO BOUTIQUE,OPPOSITE COMMERCIAL BANK,COMMERCIAL STREET,OLD ZONGO,BOLGATANGA,,,,SERVICE,A,
MAAME STORE,ADJACENT BOLGA HEALTH CENTRE,BOLGA TAMALE,POBAGA,BOLGATANGA,,0261186625,,SERVICE,A,
MAAME WALA FOOD JOINT,ADJACENT ANGLICAN PRIMARY SCHOOL,BOLGA TAMALE ROAD,POBAGA,BOLGATANGA,,0209522068,,SERVICE,A,
MAAMUS ENTERPRISE,ADJACENT THE OLD CENTRAL MOSQUE,COMMERCIAL STREET,OLD ZONGO,BOLGATANGA,"P. O. BOX 309, BOLGA",,,INDUSTRY,A,
MAAWE VENTURE,ADJACENT POLICE QUARTERS,BOLGATANGA BAWKU ROAD,DAMEO,BOLGATANGA,"P. O. BOX 600, BOLGATANGA",0244506924,mawedzi@gmail.commawedzi@gmail.com,SERVICE,A,
MABEL FAST FOOD,BESIDE TENI PITO CORNER,STADIUM ROAD,DAPORTINDONGO,BOLGATANGA,,,,SERVICE,A,
MABEL'S PROVISION SHOP,NEAR ENESTINA'S CHOP BAR AVOTIBISI,ALONG THE ZAARE AVOTIBISI MAIN ROAD,ZAARE AVOTIBISI,BOLGATANGA,,,,SERVICE,A,
MACHEANS BOUTIQUE,OPPOSITE PRESBY CHURCH,COMMERCIAL STREET,ATULBABISI,BOLGATANGA,"P. O. BOX 200, BOLGA",,hanna@yahoo.com,SERVICE,A,
MACKU SERVICES,SAME PREMISES AS PREMIER LODGE,,BOLGA,BOLGA,"P. O. BOX 455, BOLGA",,,SERVICE,A,
MACLEAN DAM WASHING BASE,OPPOSITE MACLEAN VIEW RESTAURANT BUKERE,ALONG STADIUM LIBRARY ROAD,BUKERE,BOLGATANGA,,0509979885,,SERVICE,A,
MACLEAN VIEW RESTAURANT &SPOT,OPPOSITE MACLEAN DAM,ALONG STADIUM LIBRARY ROAD,BUKERE,BOLGATANGA,,0200524742,,SERVICE,A,
MACLEAN WASHING BAY,NEAR CRAFT VILLAGE,ALONG STADIUM LIBRARY ROAD,BUKERE,BOLGATANGA,,0209642274,,SERVICE,A,
MAD. HAWA STORE,INFRONT OF ANAMOOH HOUSE NO. Z45,BOLGA BAWKU ROAD,DABO-TINGRE,ZUARUNGU DABORO,,0209295785,,SERVICE,A,
MADAM ABOPOKA PITO SPOT,INSIDE ANUNA YIRE ABURIBIS,BOLGA BONGO ROAD,ABURIBISI,YOROGO ABURIBISI,,0241738089,,INDUSTRY,A,
MADAM ABUA FOOD,INFRONT OF AKOLOGO HOUSE OPPOSITE RADIO GURUNE,ST CLEMENT PRI SCH RD,DAPORTINDONGO,BOLGATANGA,,,,SERVICE,A,
MADAM AKARIBO PROVISION,INFRONT OF BB YIRE 50 METERS AWAY,BOLGATANGA BONGO ROAD,APUKOBISI,YOROGO-APOKUBISI,,0508352538,,SERVICE,A,
MADAM AKOLOPOKA DRESS MAKING SHOP,OPPOSITE ASOROGOBISI JUNIOR HIGH SCHOOL IN ASOROGOBISI VILLAGE,YOROGO ASOROGOBISI GOWRI ROAD,ASOROGOBISI,YOROGO GAABISI,,0505948378,,INDUSTRY,A,
MADAM ALICE SHOP,ADJACENT OJAM WASHING BASE,PWALUGU BOLGA ROAD,TINDONSOBULOGU,BOLGATANGA,,0206652695,,SERVICE,A,
MADAM ANA BEAUTY SALON,ADJACENT ABILBA NO.1 JUNIOR HIGH SCHOOL,BOLGA BAWKU ROAD,SAWAABA,BOLGATANGA,,0506113612,,SERVICE,A,
MADAM ANGELA'S BEAUTY SALON,ADJACENT MADAM ELIZABETH WEAVING CENTRE,SOE-YIPALA ROAD,SOE-KUGADOONE,BOLGATANGA,,0508857195,,SERVICE,A,
MADAM ASIBI AMOLLAA SHOP,OPPOSITE WINRS CHAPPLE CHURCH,WINERS CHAPPLE STREET,AWURE,KALBEO AWURE,,0206826989,,INDUSTRY,A,
MADAM ASIBI FASHION CENTER,INFRONT OF MAMA LAADI FORSTER'S HOME,BOLGA BONGO ROAD,YIPALA SOE,BOLGATANGA,,0247817554,,INDUSTRY,A,
MADAM ATUA'S PROVISION STORE,100M AWAY FROM GOD GIFT BEAUTY SALOON,SOE-BUKERE ROAD,SOE,BOLGATANGA,,0209193346,,SERVICE,A,
MADAM AUGESTINA BOUTIQUE,OPPOSITE SUNSHINE PHOTOS LABORATORY,COMMERCIAL STREET,ATULBABISI,BOLGATANGA,"C/O P. O. BOX 1, BOLGA",0208635666,,SERVICE,A,
MADAM AWULA'S SHOP,BEHIND ACDEP RESULT PROJECT OFFICE,BOLGA BAWKU ROAD,DULUGU MOSHI ZONGO,DULUGU AGINIBISI,,0242541840,,SERVICE,A,
MADAM AYENVOI PRISCILLA BEAUTY SALON,ESTATE JUNCTION LESKEN HOUSE OPPOSITE,BOLGA TAMALE ROAD,ESTATE TINDONMOLGO,BOLGATANGA,,0245953180,,SERVICE,A,
MADAM AYINE DRINKING SPOT,10 METERS OPPOSITE TINDONMOLGO GARDENS,SDA CHURCH TO SHERIGU ROAD,TINDONMOLGO,BOLGATANGA,,0508486423,,SERVICE,A,
MADAM AYINPOKA PITO SPOT,AZASGSA YIRE HOUSE NO. YA 87,BOLGA BONGO ROAD,AITABISI,YOROGO ATIABISI,,0209515069,,INDUSTRY,A,
MADAM AYINPOKA WEAVING CENTER,NEAR ASAKIYA ENTERPRISE,BOLGATANGA BONGO ROAD,BULUGO,YOROGO-BULUGO,,0245378018,,INDUSTRY,A,
MADAM AYISHA ENTERPRISE,INSIDE OLD MARKET,ABILBA ROAD,ATULBABISI,BOLGATANGA,,0207573704,,SERVICE,A,
MADAM AZUMAH SHOP,BY COMFIDENCE BAR JUST AT NAVRONGO BOLGA ROAD,BOLAGTANGA NAVRONGO ROAD,SUMBRUNGU ZORBONGO,SUMBRUMGU ZORBORGO,,0204171700,,INDUSTRY,A,
MADAM BE'S CHEMICAL SHOP,ADJACENT RURAL AID GHANA,ZUARUNGU BAWKU ROAD,KUMBOSCO,ZUARUNGU,,0246636238,,SERVICE,A,
MADAM BOYA FASHION SHOP,BEHIND UMAR'S MOSQUE AT ZONGO,,ZONGO,BOLGATANGA,,0209265619,,INDUSTRY,A,
MADAM CECILIA TAILORING ENTERPRISE,CLOSER TO THE ATAAMPURUM CENTRAL PARIMARY SCHOOL,ZORKO SUMBRUNGU ROAD,SUMBRUNGU AGABISI,SUMBRUNGU AGABITBISI,,0246271557,,INDUSTRY,A,
MADAM CHARITY WEAVING SHOP,OPPOSITE MAPEKA ENTERPRISE,BOLGA BONGO ROAD,SOE,BOLGATANGA,,0202547746,,INDUSTRY,A,
MADAM CICELIA FASHION SHOP,ADJACENT LAS VEGAS RESTAURANT,NEW YORK ROAD,DAPORTINDONGO,BOLGATANGA,,0206397113,,INDUSTRY,A,
MADAM CLEMENCIA'S BEAUTY HAIR SALON,BEHIND SUMBRUNGU MARKET,BOLGA NAVRONGO ROAD,KOLGO NAYIRE,SUMBRUNGU KOLOGO NAYIRE,,0541444547,,SERVICE,A,
MADAM CYNTHIA ENTERPRISE,BESIDE BARIKIS RESTAURANT,STANBIC BANK,DAPORTINDONGO,BOLGATANGA,,0207419977,,SERVICE,A,
MADAM CYNTHIA'S WEAVING SHOP,ADJACENT SALAMATU'S HOUSE,ZUARUNGU MOSHIE KONGO ROAD,ZUARUNGU MOSHIE,ZUARUNGU-MOSHIE,,0249033457,,INDUSTRY,A,
MADAM DIANA BEAUTY SALON,OPPOSITE ADOMBILA'S HOUSE,BOLGA BONGO ROAD,SOE,BOLGATANGA,,,,SERVICE,A,
MADAM DORITY'S CHARCOAL STORE,ABOUT 100M AWAY FROM THE ZONGO PUBLIC TOILET,BOLGA NAVRONGO ROAD,ZONGO,BOLGATANGA,,,,SERVICE,A,
MADAM DOROTHY FASHION CENTER,ESTATE JUNCTION LESKEN HOUSE OPPOSITE,BOLGA TAMALE ROAD,ESTATE TINDONMOLGO,BOLGATANGA,,0245953180,,INDUSTRY,A,
MADAM ELIZABETH SHOP,BESIDE EVERGREEN INTERNATIONAL SCHOOL,PWALUGU BOLGA ROAD,TINDONSOBULOGU,BOLGATANGA,,0506108404,,SERVICE,A,
MADAM ELIZABETH WEAVING CENTER,ADJACENT MADAM ANGELA BEAUTY SALOON,SOE-YIPAALA ROAD,SOE-KUKADOONE,BOLGATANGA,,0540524834,,INDUSTRY,A,
MADAM ESTHER AKOLOGNUSI WEAVING CENTER,IN THE VILLAGE OF ASOROGOBISI BEHUND CHPS COMPOUND,YOROGO ASOROGOOBISI GOWRI ROSD,ASOROGOBISI,YOROGO GAABISI,,0203090294,,INDUSTRY,A,
MADAM ESTHER BREAD SHOP,INFRONT OF ANABIRE'S HOUSE,BOLGA BONGO ROAD,SOE,BOLGATANGA,,0247966919,,SERVICE,A,
MADAM ESTHER PROVISION STORE,500M AWAY FROM BOOK NO LIE DRINKING SPOT,BOLGA BONGO ROAD,SOE,BOLGATANGA,,0205875255,,SERVICE,A,
MADAM ESTHER SHOP,INBETWEEN MADAM GRACE AND MADAM AZUMAH SHOP ZORBORGO,BOLAGATANGA NAVRONGO ROAD,SUMBRUNGU ZORBORGO,SUMBRUMGU ZORBORGO,,,,INDUSTRY,A,
MADAM ESTHER WEAVEN SHOP,INFRONT OF AYELEYAMGA'S HOUSE,ZUARUNGU MOSHIE KONGO ROAD,ZUARUNGU MOSHIE,ZUARUNGU-MOSHIE,,,,INDUSTRY,A,
MADAM EUNICE FASHION SHOP,INFRONT OF AGANA FARMS SUMBRUNGU ZORBORGO,BOLGATANGA NAVRONGO ROAD,SUMBRUNGU ZORBORGO ROAD,SUMBRUMGU ZORBORGO,,,,INDUSTRY,A,
MADAM EVELYN SHOP,ALONG OPAM BROWN HOUSE ROAD,STADIUM TINDONSEO ROAD,TINDONSEO,BOLGATANGA,,0206100213,,SERVICE,A,
MADAM FATI ENTERPRISE,BEHIND ZAMSE SENIOR HIGH TECHNICAL SCHOOL,BOLGA TAMALE ROAD,TINDONMOLGO,BOLGATANGA,,0242752486,,SERVICE,A,
MADAM FELICIA'S STORE,INFRONT OF AMALIBA HOUSE OPPOSITE RADIO GURUNE,ST CLEMENT PRI SCH RD,DAPORTINDONGO,BOLGATANGA,,0205162623,,SERVICE,A,
MADAM GLADYS FOOD CENTER,OPPOSITE APUKOBISI DAY CARE SCHOOL,BOLGATANGA BONGO ROAD,APUKOBISI,YOROGO-APOKUBISI,,0548001664,,SERVICE,A,
MADAM GRACE SPOT,JUST BY MADAM AZUMAH SHOP ON THE BOLGATANGA NAVRONGO ROAD,BOLGATANGA NAVRONGO ROAD,SUMBRUNGU ZORBORGO,SUMBRUMGU ZORBORGO,,,,INDUSTRY,A,
MADAM HAWA TAILORING SHOP,ADJACENT ABILBA NO.1 JUNIOR HIGH SCHOOL,BOLGA BAWKU ROAD,SAWAABA,BOLGATANGA,,0546902585,,INDUSTRY,A,
MADAM HELEN'S BAR,ADJACENT KINGS AND QUEENS,KINGS AND QUEENS ROAD,BUKERE,BOLGATANGA,,0508852323,,SERVICE,A,
MADAM HILDA CEMENT STORE,200M AWAY FROM JUST BE SPOT AND PROVISIONS STORE,SOE-TINDOOSEO ROAD,SOE,BOLGATANGA,,0508486745,,SERVICE,A,
MADAM IVY ENTERPRISE,OPPOSITE ABOLE JUNCTION,BOLGA TAMALE ROAD,POBAGA,BOLGATANGA,,0201280589,,SERVICE,A,
MADAM JANET STORE,ADJACENT  ROBERT NYABA'S HOUSE,GRATIS FOUNDATION BUKERE ROAD,BUKERE,BOLGATANGA,,0248210595,,SERVICE,A,
MADAM JOYCE BEAUTY SALON,50M AWAY FROM DIANA'S SALOON,BOLGA BONGO ROAD,SOE,BOLGATANGA,,0548427751,,SERVICE,A,
MADAM KADIJA'S SHOP,VRA STAFF BUNGALOWS RIGHT TURN,BOLGA BAWKU ROAD,DULUGU MOSHI ZONGO,DULUGU ASANOREBISI,,0209196038,,SERVICE,A,
MADAM LARIBA PITO SPOT,ASINGA YIRE BULUGO,BOLGATANGA BONGO ROAD,BULUGO,YOROGO-BULUGO,,0245584426,,INDUSTRY,A,
MADAM LIZY BEAUTY SALON,ADJACENT METHODIST SCHOOL,TANZUI ROAD,TANZUI,BOLGATANGA,,0205345578,,SERVICE,A,
MADAM LYDIA PROVISION STORE,TOWARDS ASAKUNDE CLINIC 100M AWAY,SOE ROAD TOWARDS ASANKUNDE CLINIC,SOE,BOLGATANGA,,0262611386,,SERVICE,A,
MADAM MARGRETT'S SHOP,OPPOSITE STADIUM,STADIUM ROAD,DAPORTINDONGO,BOLGATANGA,"P. O. BOX 176, BOLGA",0500419817,,SERVICE,A,
MADAM MARY APODITA ENTERPRISE,INSIDE OLD MARKET BOT/TB68,COMMERCIAL STREET,ATULBABISI,BOLGATANGA,,0268628953,,SERVICE,A,
MADAM MARY'S DRINKING SPOT,CLOSE TO FILM BARBERING SALOON,SOE-TINDONSOE ROAD,SOE,BOLGATANGA,,0506910426,,SERVICE,A,
MADAM MARY'S SPOT,AYURIKIYA YIRE HOUSE NO. BY 30,ZAARE KUNKUA ROAD,BULUGO,YOROGO-BULUGO,,0547366051,,SERVICE,A,
MADAM MATILDA PROVISION STORE,50M AWAY FROM SOLDIER WATER MANUFACTURING,SOE PRI-TINDONSHEO ROAD,SOE,BOLGATANGA,,0241509707,,SERVICE,A,
MADAM MERCY WEAVING SHOP,BEHIND NADENGZEIN ACADEMY,BOLGA TAMALE ROAD,POBAGA,BOLGATANGA,,0540205531,,INDUSTRY,A,
MADAM MERCY'S STORE,THE POINT MARKET,NAVRONGO TAMALE ROAD,TINDONMOLGO,BOLGATANGA,,0206396883,,SERVICE,A,
MADAM MILICENT BEAUTY SALON,NEAR NIDA HOMOEPATHIC CLINIC AND LABORATORY,AWOGYA ROAD TO NIDA CLINIC,BUKERE,BOLGATANGA,,0206101311,,SERVICE,A,
MADAM MONICA ENTERPRISE.,BESIDE ISSAC ESHUN HOUSE,RADIO A 1 ROAD,TINDONSOBULOGU,BOLGATANGA,,0242904587,,SERVICE,A,
MADAM MONICA'S DRINKING SPOT,BEHIND BOOK NO LIE DRINKING SPOT,BOLGA BONGO ROAD,SOE,BOLGATANGA,,,,SERVICE,A,
MADAM PATIENCE BEAUTY SALON,HOSP. QUARTERS BEHIND JSQ 18,HOSPITAL MOSQUE ROAD,ZAARE,BOLGATANGA,,0249910465,,SERVICE,A,
MADAM RITO HAIR SALON,OPPOSITE AZOBIRE YIRE APUKOBISI,BOLGATANGA BONGO ROAD,APUKOBISI,YOROGO-APOKUBISI,,0541216517,,SERVICE,A,
MADAM ROSE TAILORING SHOP,OPPOSITE ISSEBINAL ENTERPRISE,99 STARLET ROAD,BUKERE,BOLGATANGA,,0240278962,,INDUSTRY,A,
MADAM SADIA FASHION CENTER,INSIDE OLD MARKET,COMMERCIAL STREET,ATULBABISI,BOLGATANGA,,0207755248,,INDUSTRY,A,
MADAM SALAMATU FASHION SHOP,IFRONT OF AKUGRE'S HOUSE,BOLGATANGA BONGO ROAD,BULUGO,YOROGO-BULUGO,,0248977048,,INDUSTRY,A,
MADAM SHEILA FASHION AND DESIGN,OPPOSITE STATE TRANSPORT COMPANY YARD ADJACENT B52,BOLGA TAMALE ROAD,POBAGA,BOLGATANGA,,0247777783,,INDUSTRY,A,
MADAM TALATA CHARCOAL,BEHIND SMALL SMALL DRINKING SPOT,BOLGATANGA BONGO ROAD,APUKOBISI,YOROGO-APOKUBISI,,,,SERVICE,A,
MADAM TALATA SPOT,CLOSE TO AZANGINA'S HOUSE BEHIND SOE PRIMARY,SOE PRIMARY SCHOOL ROAD,SOE,BOLGATANGA,,0209281132,,SERVICE,A,
MADAM TENI'S BAR,ZUARUNGU DACHIO MARKET,ZUARUNGU DACHIO BOLGA ROAD,ZUARUNGU DACHIO,ZUARUNGU DACTIO,,0247433879,,SERVICE,A,
MADAM TENII'S RESTAURANT,REG. HOSP. NEAR THE TAXI STATION,HOSP. HIGHWAYS ROAD,ZAARE,BOLGATANGA,,0246046112,,SERVICE,A,
MADAM UMU ENTERPRISE,50METER FROM FOUNTAIN GATE CHAPEL ADJKACENT STC,BOLGA TAMALE ROAD,TINDONMOLGO,BOLGATANGA,,0207790575,,INDUSTRY,A,
MADAM VIC ENTERPRISE.,OPPOSITE ST CLEMENT SCHOOL AVANE'S HOUSE,NEW YORK ROAD,DAPORTINDONGO,BOLGATANGA,,0203971164,,SERVICE,A,
MADAM VICTORIA BAR,NEAR OPAM BROWN HOUSE,BOLGA STADIUM TINDONSEO ROAD,SOE,BOLGATANGA,,0243789754,,SERVICE,A,
MADAM VIDA FASHION CENTER,NEAR STRAIGHT-WAY,PWALUGU NAVRONGO ROAD,OLD ZONGO,BOLGATANGA,,0240854120,,INDUSTRY,A,
MADAM VIDA'S SHOP,ADJACENT EVAN'S BARBERING SHOP,ZUARUNGU DACHIO BOLGA ROAD,ZUARUNGU DACHIO,ZUARUNGU DACTIO,,0545204780,,SERVICE,A,
MADAM YAA STORE,50 METRES AFTER SWAP SIGNBOARD AT SSNIT TRAFFIC,TANZUI  ROAD,TANZUI,BOLGATANGA,"C/O P. O. BOX 5, BOLGA",,,SERVICE,A,
MADIT ENTERPRISE,AROUND VODAFONE GUEST HOUSE ZAARE,,BOLGA,BOLGA,"P. O. BOX 133, BOLGA",,,SERVICE,A,
MAGDALENE DRINKING SPOT,BESIDE BONAMAX ENTERPRISE,STADIUM ROAD,DAPORTINDONGO,BOLGATANGA,,,,SERVICE,A,
MAGDEE SPOT,BEHIND CRAFT VILLAGE,ALONG STADIUM LIBRARY ROAD,BUKERE,BOLGATANGA,,0234929786,,SERVICE,A,
MAGINGA TELECOM,OPPOSITE HOME TOUCH BAR AND RESTAURANT,MARKET STADIUM ROAD,BUKERE,BOLGATANGA,,0502199435,,SERVICE,A,
MAHAMA AL-JIHAD ENTERPRISE,H/NO C.27 NEAR CHURCH OF PENTECOST,,BOLGA,BOLGA,"P.O. BOX 2, BOLGA",,,INDUSTRY,A,
MAHAMADU DRESSMAKING SHOP,BEHIND TAXI RANK NEAR CENTRAL MOSQUE,BAWKU ROAD,ZONGO,BOLGATANGA,,0203150128,,INDUSTRY,A,
MAHAMADU ENTERPRISE,OPPOSITE ERIC ATTA DRUG STORE ON THE COMMERCIAL STREET,COMMERCIAL STREET,OLD ZONGO,BOLGATANGA,,0203514929,,SERVICE,A,
MAHAMMED M A ADONGO RETAIL,ZUARUNGU TIMBER MARKET,BOLGA BAWKU ROAD,YARIGABISI,ZUARUNGU,"P. O. BOX 418, BOLGATANGA",0206589542,,SERVICE,A,
MAHAMUD ABDULAI ENT.,AJDACENT BOLGA COUNCIL AREA,MAIN STATION ROAD,ATULBABISI,BOLGATANGA,,0264875140,,SERVICE,A,
MAHAMUDU SALAM FITTING SHOP,ADJACENT SLAUGHTER HOUSE,BOLGA BAWKU ROAD,SAWAABA,BOLGATANGA,,0246279951,,SERVICE,A,
MAIDA HALIDU SHOP,OLD MARKET,AYIA STREET,ATULBABISI,BOLGATANGA,"C/O P. O. BOX 244, BOLGA",0240393080,,SERVICE,A,
MAIGEBONO BAR,RICE MILL BEHIND TIMBER MARKET,BOLGA BAWKU ROAD,YARIGABISI,ZUARUNGU,,0202846637,,SERVICE,A,
MAJ BOUTIQUE,ASUNDA BUILDING,COMMERCIAL STREET,OLD ZONGO,BOLGATANGA,"P. O. BOX 61, BOLGA",0208020724,mohammedmajidu@gmail.com,SERVICE,A,
MAJESTY ART AND DESIGN,DIRECTLY OPPOSITE NASONA FILLING STATION,BOLGA BAWKU ROAD,SAWAABA,BOLGATANGA,,0248452442,,SERVICE,A,
MAJID AND SIMPLE FITTING SHOP,NEAR TAXI RANK,BAWKU ROAD,OLD ZONGO,BOLGATANGA,"P. O. BOX 4, BOLGA",0205483877,,SERVICE,A,
MAJOR PLUS,OPPOSITE UNCOMPLETED CENTRAL MOSQUE,BOLGA BAWKU ROAD,DAMEO,BOLGATANGA,"P. O. BOX 4, BOLGA",0209373071,loagh2001@yahoo.com,SERVICE,A,
MAJSAM ENTERPRISE LIMITED,,,BOLGA,BOLGA,"P. O. BOX 411, BOLGA",,,SERVICE,A,
MAKFIA ENTERPRISE,"VAT OFFICE,S.S.N.I.T.BOLGA.",,BOLGA.,BOLGA,"P. O. BOX 509,, BOLGA.",,,INDUSTRY,A,
MAKUGRE DESIGNS,OPPOSITE AWOGEYA PRIMARY,AWOGEYA PRIMARY ROAD,BUKERE,BOLGATANGA,,0249305774,makugredesigns@gmail.com,INDUSTRY,A,
MALAM ALIDU WELDING SHOP,OPPOSITE NASONA,BOLGA BAWKU ROAD,SAWAABA,BOLGATANGA,,0248845321,,INDUSTRY,A,
MALAM HALIDU MOSQUE,IN HOUSE NO. D56,BOLGATANGA BAWKU ROAD,DAMEO,BOLGATANGA,,0209087128,,SERVICE,A,
MALAM LABARAN MOSQUE,OPPOSITE GOIL FILLING STATION,BOLGA TO BAWKU ROAD,DAMEO BOLGA,BOLGATANGA,,0249083961,,SERVICE,A,
MALAM'S STRAIGHTENING SHOP,OPPOSITE ST. CHARLES JUNIOR HIGH SCHOOL,BOLGA HOSPITAL ROAD,BOLGA TANZUI,BOLGATANGA,,0240841112,,SERVICE,A,
MALBEX VENTURES,OPPOSITE POLICE BARRACKS BOLGA PLT 18,,BOLGA,BOLGA,"P. O. BOX 786, BOLGA",,,SERVICE,A,
MALGU-NAA VENTURES,SAME AS TOTAL FILLING STATION WINKOGO,,BOLGATANGA,BOLGA,"P. O. BOX 369, BOLGATANGA",,,SERVICE,A,
MALIDA'S SEWING SHOP,ADJACENT OGUM'S HOTEL KUMBOSCO,BOLGA BAWKU ROAD,KUMBOSCO,ZUARUNGU,,0247649320,,INDUSTRY,A,
MALIGU ENTERPRISE,OPPOSITE GBC,BOLGA NAVRONGO ROAD,ZORBISI,BOLGATANGA,,0247751099,,SERVICE,A,
MALISCO ENTERPRISE,BEHIND TIMBER MARKET AND OPPOSITE MALISCO'S HOUSE,BOLGA BAWKU ROAD,ZARIGABISI,ZUARUNGU,,0208387817,,SERVICE,A,
MALLAM IDDRISU MOSQUE,PUBLIC TOILET,MAIN NAVRONGO ROAD,OLD ZONGO,BOLGATANGA,"P. O. BOX 370, BOLGA",0208306919,,SERVICE,A,
MALLAM SAANI TAILORING SHOP,BEHIND GOIL FILLING STATION,MAIN NAVRONGO ROAD,OLD ZONGO,BOLGATANGA,"C/O P. O. BOX 141, BOLGA",0209104968,,INDUSTRY,A,
MALNEREA SMOCKS,OPPOSITE GOIL,BOLGA BAWKU ROAD,SAWAABA,BOLGATANGA,,0244483077,,INDUSTRY,A,
MALURU SPOT,BEHIND SOE PUBLIC TOILET,ASANKUNDE MEMORIAL TINDONSEO ROAD,SOE,BOLGATANGA,,0262303955,,INDUSTRY,A,
MALWUN ENT.,OPPOSITE UNCOMPLETED CENTRAL MOSQUE,COMMERCIAL STREET,ATULBABISI,BOLGATANGA,,0249213271,,SERVICE,A,
MAMA ATIAH'S PITO BAR,ADJACENT KATANGA PRIMARY SCHOOL,ZUARUNGU KATANGA ROAD,KATANGA,ZUARUNGU KATANGA APINO,,0200046045,,INDUSTRY,A,
MAMA BABY'S ENT.,NEAR THE PUBLIC TOILET AYURENGA'S HOUSE,ROAD TOWARD CATERING AYURENGA'S HSE,BUKERE,BOLGATANGA,"C/O P. O. BOX 299, BOLGA",0249744065,,SERVICE,A,
MAMA DRINKING BAR,BEHIND TINDONSOBULOGU PRIMARY SCHOOL,BOLGA PWALUGU ROAD,TINDONSOBULOGU,BOLGATANGA,,,,SERVICE,A,
MAMA ENTERPRISE,BEHIND OF ASSEMBLES OF GOD CHURCH,,ZONGO,BOLGATANGA,"P. O. BOX 253, BOLGA",0244857386,,SERVICE,A,
MAMA FASHION CENTRE,PUBLIC TOILET,NAVRONGO ROAD,OLD ZONGO,BOLGATANGA,,0207271595,,INDUSTRY,A,
MAMA HAWA WNTERPRISE,INSIDE OLD MARKET BOT/BB29,COMMERCIAL STREET,ATULBABISI,BOLGATANGA,,0205978604,,SERVICE,A,
MAMA LAADI`S FOSTER HOME,"OFF BONGO ROAD SOE, BOLGATANGA",,BOLGATANGA,BOLGA,"P. O. BOX 166, BOLGATANGA",,,SERVICE,A,
MAMA MAVIS BOUTIQUE AND FASHION CENTRE,ADJACENT ALHAJI A.A HOUSE,NAVRONGO TAMALE ROAD,ESTATE TINDONMOLGO,BOLGATANGA,,0249794471,mavisfi@yahoo.com,INDUSTRY,A,
MAMA NADIA ENT.,OPPOSITE FIRE SERVICE,BOLGA BAWKU ROAD,SAWAABA,BOLGATANGA,,0248977868,,SERVICE,A,
MAMA PATIENCE PROVISION SHOP,OPPOSITE OLD MARKET,ABILBA ROAD,ATULBABISI,BOLGATANGA,,0209348152,,SERVICE,A,
