,,,,,,,,,,
ESTABLISHMENT NAME,EXACT LOCATION,STREET ADDRESS,SUBURB,TOWN NAME,POSTAL ADDRESS,TELEPHONE,EMAIL,SECTOR,SIZE,
BADUON GRINDING MILL,HOUES NO JI 01 JIJEN,BUGUBELLE SENTIE ROAD,JIJEN,JIJEN,,0243499604,,INDUSTRY,A,
BADUON GRINDING MILL,ADJACENT CENTRAL MOSQUE,KPARIBANIA PATH,KPARIBANIA,GWOSI LOWER,,,,INDUSTRY,A,
BADUON RABAIKA BAR,HOUSE NO BU 16 ON YOUR RIGHT FROM TUMU BUGUBELLE,TUMU WELEBELLE ROAD,BUGUBELLE,BUGUBELLE,,0542343774,,SERVICE,A,
BADUONG GRINDING MILL,KANKEN'S HOUSE,,CHANDOR BOI,BAWIESIBOI,,,,INDUSTRY,A,
BAIMAH'S ENTERPRISE,ON THE GONG DANGI ROAD 100 METRES FROM DANGI BASICSCHOOL,KONG DANGI ROAD,WISIRABELLE,DANGI,"P.O.BOX 36, TUMU",0205724972,,SERVICE,A,
BAJEI ENTERPRISE,OPPOSITE THE BORE HOLE AROUND THE AREA COUNCILOFFICE,BUJAN TAFFIASI ROAD,BUJAN,BUJAN,,0206686321,,SERVICE,A,
BAKA GRINDING MILL,TUMU BUGBELLE ROAD ON YOUR LEFT FROM TUMU,TUMU BUGBELLE ROAD,KAJIABOI SAKALO,SAKALO,,0241734647,,INDUSTRY,A,
BAKACHIE BEAUTY SALON,OPPOSITE THE POST OFFICE,,ZONGO,TUMU,,0506282199,,SERVICE,A,
BAKAI PENTECOST CHURCH,1KM AWAY FROM BENEI NANKPNWIE ROAD IN THE HOUSE,BENEI NANKPAWIE ROAD,SAKAI,SAKAI,,0248352016,,SERVICE,A,
BAKFEL ENTERPRISE,OPPOSITE TOP THREE,MAIN MARKET ROAD,ZONGO,TUMU,,0209060958,,SERVICE,A,
BAKUBALLA STORE,ADJACENT MUSAH STORE,NABUGUBELLE BUJAN ROAD,NABUGUBELLE,NABUGUBELLE,,0546292711,,SERVICE,A,
BAKUORI YAHAYA ENTERPRISE,DOHOBOI,NWANDUANU MARKET,NWANDUANU,NWANDUANU,,0248638732,,SERVICE,A,
BAKURI CAPENTERY SHOP,ON RIGHT FROM TUMU ADJACENT THE VAMBOI DAM,TUMU WELEMBELLE ROAD,VAMBOI,VAMBOI,,0245267489,,INDUSTRY,A,
BALINA ENTERPRISE,NEAR CARPENTER SHOP,DAILY MARKET ROAD,NANYUA,TUMU,,0209250315,,SERVICE,A,
BALURI'S STORE,BAYORBOW'S HOUSE,FOCHOBOI ROAD,NABULUGBANGA,NABULO,,,,SERVICE,A,
BALUTIE STORE,BEHIND NANKPAWIE BOLEHOLE,,NANKPAWIE,NANKPAWIE,,0549719241,,SERVICE,A,
BANDEI BASIC SCHOOL,ZONGO BANDEI,TUMU ROAD ON THE LEFT FROM WA,BANDEI,BANDEI,"P.O.BOX 36, TUMU",,,SERVICE,A,
BANDEI COMMUNITY MOSQUE,BANDEI LORRY STATION,TUMU ROAD AT THE LORRY STATION,BANDEI,BANDEI,,,,SERVICE,A,
BANGI ENTERPRISE,NEAR WESTERN UNION,ROAD TO CHIEF PALACE,NYAMEJAN,TUMU,,0205963946,,SERVICE,A,
BANIAFA BALIA MOSQUE,HOUSE NO BU 73 MULLABOI,TUMU WELEMBELLE ROAD,MULLABOI BUGUBELLE,BUGUBELLE,,0242334930,,SERVICE,A,
BANU BASIC SCHOOL,BY THE MOSQUE ON THE ROAD TO THE CHIEF'S HOUSE,,NABLI,BANU,,0203241652,,SERVICE,A,
BANU MOSQUE,ALONG THE ROAD TO THE CHIEF;S HOUSE,,BANU,BANU,,,,SERVICE,B,
BANU WOMEN ASSOCIATION CORN MILL,AT THE STATION ALONG THE BOLGA ROAD,,BULO,BANU,,0204780666,,INDUSTRY,A,
BANU'S GRINDING MILL,BOKOBOI KUROBOI,BY CHIEF'S HOUSE,KUROBOI,KUROBOI,,,,INDUSTRY,A,
BARIKISU'S STORE,BEHIND CHIEF IMAM'S HOUSE,CHIEF IMAMS LANE,MUOSHEI ZONGO,TUMU,,0207535989,,SERVICE,A,
BASHIRA GAMBA ELECTRONICS,BY HOUSE NO. A 93,MARKET ROAD,ZONGO,TUMU,,0209240339,,SERVICE,A,
BASHIRU'S GRINDING MILL,BOMIE-BOI TARSAW,OPPOSITE AHAMADIYYA MOSQUE,TARSAW,TARSAW,,,,INDUSTRY,A,
BASHIRU'S STORE,OPPOSITE DUU EAST CENTRAL MOSQUE,BAWIESIBOI ROAD,NADIA BOI,DUU EAST,,0248312077,,SERVICE,A,
BASINIRRE ENTERPRISE,ADJACENT GHANA COMMERCIAL BANK,TUMU LEO ROAD,ZONGO,TUMU,,0208297238,,SERVICE,A,
BASSISAN BASIC SCHOOL,ALONG THE BOLGA ROAD NEAR THE CHIEFS PALACE,,BASSISAN,BASSISAN,"P.O.BOX 36, TUMU",0207133979,,SERVICE,A,
BASUGLO GRINDING MILL,ON YOUR LEFT FROM FUNSI,WABULO FUNSI ROAD,HALEMBOI,HALEMBOI,,0240286349,,INDUSTRY,A,
BASUGLO MARIAMA,NEAR BERLIN CITY LODGE,,STADIUM,TUMU,,,,SERVICE,A,
BASUKU ENTERPRISE,BUGUBELLE STATION AT THE ENTRANCE OF THE MARKET,TUMU WELEMBELLE ROAD,BUGUBELLE,BUGUBELLE,,0242962082,,SERVICE,A,
BASUO DRINKING BAR,ON THE MNANDUONU ROAD FROM TUMU,NABUGUBELLE BUJAN ROAD,NABUBUBELLE,NABUGUBELLE,,0208877099,,SERVICE,A,
BATIE BOI GRINDING MILL,BATIE HOUSE,,KADOHO BOI,BAWIESIBOI,,,,INDUSTRY,A,
BATIELE ALASUNA COMMUNITY MOSQUE,BATIELE,BEHIND CHIEF PALACE ON TUMU ROAD,CHALLU,CHALLU,,,,SERVICE,A,
BATUU MOTOR FITTING SHOP,KUURI BOI HOUSE BY HOSPITAL ROAD,HOSPITAL ROAD,CHENDOR BOI,BAWIESIBOI,,,,SERVICE,A,
BAVIA BAKA PETROL SHOP,IN FRONT OF HELIA BAVIA'S HOUSE ON BENDEI NANKPAWIEROAD,BENDEI NANKPAWIE,SAKAI,SAKAI,,0249673345,,SERVICE,A,
BAWA GRINDING MILL,ON THE NANKANWIE ROAD OPPOSITE MAGEED STORE,BANDEI NANKPAWIE,SAKAI,SAKAI,,0505160083,,INDUSTRY,A,
BAWA MODA'S FITING SHOP,OPPOSITE KANTON SENIOR HIGH SCHOOL,PIENG ROAD,RURAL HOUSING,TUMU,,,,INDUSTRY,A,
BAWA STORE,AT THE STATION ALONG THE BOLGA ROAD,,STATION,BANU,,0277177745,,SERVICE,A,
BAWAH STORE,OPPOSITE TUMU COOPERATIVE CREDIT UNION BUGUBELLEAGE,TUMU WELEBELLE ROAD,BUGUBELLE,BUGUBELLE,,0245267466,,SERVICE,A,
BAWAH STORE,ALONG THE TUMU WELEMBELLE ROAD ON THE LEFT VAMBOI,TUMU WELEMBELLE ROAD,VAMBOI,BAMBOI,,0544373642,,SERVICE,A,
BAWIESIBELLE CHPSS,WESTEN SIDE OF BAWIESIBELLE ALONG KUNDUGU ROAD,CHANDOBEI STREET,CHANDOEBEI,BAWIESIBOI,,0248527866,,SERVICE,A,
BAWIESIBOI BASIC SCHOOL,OUTSKIRT OF BAWIESIBOI TOWARDS KOMOR,KOMOR ROAD,GBOWURUBOI,BAWIESIBOI,"P.O.BOX 36, TUMU",0207691555,,SERVICE,A,
BAWIESIBOI CENTRAL MOSQUE,AT THE MARKET,BY COMOR ROAD,GBOGURU BOI,BAWIESIBOI,,,,SERVICE,A,
BAWULE ENTERPRISE,OPPOSITE THE AREA COUNCIL,BUJAN TAAFIASI ROAD,BUJAN,BUJAH,,0203169368,,SERVICE,A,
BAYI ENTERPRISE,MARKET STORE NO BU LS 08 BUGUBELLE MARKET,TUMU WELEMBELL ROAD,BUGUBELL,BUGUBELLE,,0245267487,,SERVICE,A,
BAYORBOW AKBA'S STORE,ABA'S HOUSE,ABAJAN PATH,ABA JAN,GBENEWIESI,,,,SERVICE,A,
BAYORSI STORE,OPPOSITE DOLIBIZON BASIC SCHOOL,SINBORUN ROAD,ZENBURIGU,DOLIBIZON,,0506181389,,SERVICE,A,
BAYOUNI'S STORE,BAYUON'S HOUSE,THE ROAD LEADING TO BAYUON'S HOUSE,KPARIBANIA,GWOSI LOWER,,,,SERVICE,A,
BAYPORT FINANCIAL SERVICE,OPPOSITE SKY FILLING STATION TO THE BARRIER,WELEMBELLE TUMU ROAD,DISTRICT ASSEMBLY AREA,TUMU,,,,SERVICE,A,
BEAUTIFUL LADY FASHION CENTRE,OPPOSITE AGRICULTURAL DEVELOPMENTAL BANK ON RIGHT,TUMU KOWIE ROAD,ZONGO,TUMU,,,,INDUSTRY,A,
BECHEMBOI CENTRAL MOSQUE,100M AWAY FROM SOLI STORE ON YOUR LEFT FROM TARSAW,TARSAW NABULO ROAD,BECHEMBOI,BECHEMBOI,,,,SERVICE,A,
BECHEMBOI CHPS ZONE,OPPOSITE BECHEMBOI BASIC SCHOOL,TARSAM NABULO ROAD,BECHEMBOI,BECHEMBOI,,0548495570,,SERVICE,A,
BECHEMBOI JUNIOR HIGH SCHOOL,OPPOSITE BECHEMBOI CHPS COMPOUND,TARSAW NABULO ROAD,BECHEMBOI,BECHEMBOI,,0548624089,,SERVICE,A,
BECHEMBOI PRIMARY SCHOOL,OPPOSITE THE BECHEMBOI CHPS ZONE,TARSAW NABULO ROAD,BECHEMBOI,BECHEMBOI,,0548624089,,SERVICE,A,
BEN ENTERPISE,OPPOSITE AGRICULTURAL DEVELOPMENTAL BANK,TUMU KOWIE ROAD,DIGLAFORA,TUMU,,0508667006,,SERVICE,A,
BEN STORE,ADJACENT PIENG CENTRAL MOSQUE,CENTRAL MOSQUE ROAD,PIENG,PIENG,,0549735186,,SERVICE,A,
BENG-CHIE FASHION,BESIDE AHAMADIYA MOSQUE,AHAMADIYYA MOSQUE STREET,BENJANG,TUMU,,0206596718,,INDUSTRY,A,
BERLING CITY LODGE,BEHIND THE STADIUM,ROAD BEHIND THE STADIUM,STADIUM,TUMU,"P.O.BOX 9, TUMU",0207215710,,SERVICE,A,
BERNICE SPOT,BEHIND THE SCHOOL,,LILIXIA,LILIXIA,,0240182941,,SERVICE,A,
BEST PRACTICE LIMITED,NEAR POLICE STATION,WELEMBELLE LEO ROAD,POLICE STATION,TUMU,,,,SERVICE,A,
BIBBLE CHURCH OF AFRICAN,OPPOSITE KOWIE CHIEFS PALACE,TUMU KOWIE ROAD,KOWIE,KOWIE,,0203092211,,SERVICE,A,
BIBLE CHURCH OF AFRICA,CLOSER TO VAMBOI,TUMU WELEMBELLE ROAD,VAMBIO,VANBOI,"P.O.BOX 79, TUMU",0541257199,,SERVICE,A,
BIRTH AND DEATH OFFICE,AT THE OLD DISTRICT ASSEMBLY BLOCK,,OLD DISTRICT ASSEMBLY,TUMU,"P.O.BOX 12, TUMU",,,SERVICE,A,
BNI,OPPOSITE OLD ASSEMBLY BLOCK,,OLD ASSEMBLY AREA,TUMU,,,,SERVICE,A,
BONGO MAHAMADU CORN MILL,NAGUNBOI,TUMU ROAD FROM WA ON THE RIGHT,BANDEI,BANDEI,,0249826383,,INDUSTRY,A,
BORI STORE,BOLOSUMA,BOLOSUMA,TARSAW KOROBOI ROAD,TARSAW,,0248574394,,SERVICE,A,
BORSU STORE,BESIDE THE TUMU ROAD CLOSER TO FUSEINI'S HOUSE,TUMU BOLGA ROAD,DIMAJAN NO 1EBEN-AAJAN,DIMAJAN NO 1,,0207416488,,SERVICE,A,
BOSS ENTERPRISE,ADJACENT BAWA GRINDING MILL,BANEDI NANKPAWIE ROAD,SAKAI,SAKAI,,0248353599,,SERVICE,A,
BOSS MAN REFREGERATORS AND AIR CONDITION REPAIRS,BEHIND TUMU HOME STORE,TUMU HOME STREET,ZONGO,TUMU,,0208705035,,SERVICE,A,
BRAIMA'S ENTERPRISE,BY THE PULIC TOILET ON THE TUMU WELEMBELLE ROAD,TUMU WELEMBELLE ROAD,HULEMBELLE,KONG,,0207452081,,SERVICE,A,
BRAIMAH GRINDING MILL,HOUSE NO 73 MULLABOI,TUMU WELEMBELLE ROAD,MULLABOI,BUGUBELLE,,0242334930,,INDUSTRY,A,
BRAIMAH TAILORING SHOP,IN FRONTBN OF THE MARKET CLOSE TO AUGUSTINA ADOM BAR,TUMU WELEMBELLE ROAD,BUGUBELLE,BUGUBELLE,,0241980094,,INDUSTRY,A,
BRAIMAH'S GRINDING MILL,BY THE PULIC TOILET ON THE TUMU WELEMBELLE ROAD,TUMU WELEMBELLE ROAD,HULEMBELLE,KONG,,0207452081,,INDUSTRY,A,
BROAD WAY,OPPOSITE TOTAL FILLING STATION,WELEBELLE LEO ROAD,DISTRICT ASSEMBLY,TUMU,,0208373320,,SERVICE,A,
BROAD WAY ANNEX ENTERPRISE,OPPOSITE ST BEES ENTERPRISE,TUMU LEO ROAD,ZONGO,TUMU,,0207503848,,SERVICE,A,
BROTHERS  ETERPRISE,ON THE LEFT OFF BUGUBELLE JIJEN ROAD BEHIND CREDITUNION,TUMU BUGUBELLE ROAD,BUGUBELLE,BUGUBELLE,,0242756884,,SERVICE,A,
BROTHERS CHEMICAL,INSIDE SAKAI MARKET,BENEI NANKPAWIE ROAD,SAKAI,SAKAI,,0242646785,,SERVICE,A,
BROTHERS FIC,,,TUMU,TUMU,"P. O. BOX 37, TUMU",,,SERVICE,A,
BUGUBELLE CENTRAL MOSQUE,OPPOSITE THE MARKET AND BEHIND TUMU COOPERATIVECREDIT UNION,TUMU WELEBELLE ROAD,BUGUBELLE,BUGUBELLE,,0241758716,,SERVICE,A,
BUGUBELLE CHPS COMPOUND,ON YOUR LAFT OFF BUGUBELLE TARSAW ROAD,BUGUBELLE TARSAW ROAD,BUGUBELLE,BUGUBELLE,"P.O.BOX 89, TUMU",0549790223,,SERVICE,A,
BUGUBELLE JUNIOR HIGH SCHOOL,ON YOUR RIGHT OFF BUGUBELLE JIJEN ROAD,BUGUBELLE JIJEN ROAD,BUGUBELLE,BUGUBELLE,,0240611327,,SERVICE,A,
BUGUBELLE PRIMARY SCHOOL,ON YOUR RIGHT OFF BUGUBELLE JIJEN ROAD,BUGUBELLE JIJEN ROAD,BUGUBELLE,BUGUBELLE,,0240611327,,SERVICE,A,
BUJAN AREA COUNCIL,IN FRONT OF BAWULE ENTERPRISE ON THE MAIN ROADOF BUJAN,BUJAN TAFFIASI ROAD,BUJAN,BUJAN,,0205238777,,SERVICE,A,
BUJAN BASIC SCHOOL,JUST THE ENTRANCE FROM TUMU TO BUJAN,BUJAN TAAFIASI ROAD,BUJAN,BUJAN,"P.O.BOX 36, TUMU",0207359340,,SERVICE,A,
BUJAN COMMUNITY MOSQUE,ADJACENT BAWULE ENTEPRISE BY THE MAIN ROAD,BUJAN TAAIASI ROAD,BUJAN,BUJAN,,0500465239,,SERVICE,A,
BUKARI MORO ENTERPRISE,NAPURUNBOI,NABUGUBELLE ROAD,NWANDUANU,NWANDUANU,,,,SERVICE,A,
BUKARI STORE,ON YOUR RIGHT FROM NABULO BEHIND THE MOSQUE,NABULO FUNSI ROAD,HALEMBOI,HALEMBOI,,0540389143,,SERVICE,A,
BUKARIA GRINDING MILL,JUST BY THE TEACHERS HOUSE,NABUGUBELLE BUJAN ROAD,NABUGUBELLE,NABUGUBELLE,,,,INDUSTRY,A,
BULLU COMMUNITY MOSQUE,IN THE MIDDILE OF THE COMMUNITY,,BULLU,BULLU,,0207834521,,SERVICE,A,
BUNO'S SIMSTRESS SHOP,ADJACENT CHIEFS PALACE,CHIEF PALACE ROAD,BAABOI,DUU EAST,,,,INDUSTRY,A,
CARPENTER ENTERPRISE,ADJACENT AI HOUSE,DAILY MARKET ROAD,ZONGO,TUMU,"P.O.BOX 16, TUMU",0209021616,,SERVICE,A,
CENTRAL MOSQUE,ADJACENT SANGARA MOTOR FITTING SHOP,BAWIESIBOI ROAD,NAADIA BOI,DUU EAST,,,,SERVICE,A,
CHALLU BASIC SCHOOL,"BATIELE,CHALLU",ON THE WAY TO KULFUO ON THE RIGHT,CHALLU,CHALLU,"P.O.BOX 36, TUMU",0242707763,,SERVICE,A,
CHALLU HOME STORE,BAGREBOI CHALLU,BY THE MAIN ROAD TO KULFUO,CHALLU,CHALLU,,0248379763,,SERVICE,A,
CHARLES SHOP,BOMIE BOI TARSAW,NWANDUANU ROAD,TARSAW,TARSAW,,,,SERVICE,A,
CHIEF'S GRINDING MILL,CHIEFS PALACE,CHIEF PALACE ROAD,YIGANTU,YIGANTU,,,,INDUSTRY,A,
CHINCHAN BASIC SCHOOL,AT CHINCHAN NEAR CHIEF'S HOUSE,,CHINCHAN,CHINCHAN,"P.O.BOX 36, TUMU",0208375788,,SERVICE,A,
CHINCHAN CHPS COMPOUND,ALONG THE CHINCHAN TAFIASI BESIDE THE BORE HOLE,CHINCHAN TAFIASI,CHINCHAN,CHINCHAN,,0200641616,,SERVICE,A,
CHINCHAN SOAP MAKING CENTRE,BESIDE AMIDU'S HOUSE,CHINCHANG TAFIASI ROAD,CHINCHANG,CHINCHANG,"P.O.BOX 20, TUMU",0207423173,,SERVICE,A,
CHINCHANG MOSQUE,AT BADOANJAN BESIDE MALAM IDDRISU'S HOUSE,,CHINCHANG BODOANJAN,CHINCHING,,0206399412,,SERVICE,A,
CHRISTOPHER STORE,SAKALO TUMU BUGBELLE ROAD ON  YOUR LEFT FROM TUMU,TUMU BUGBELLE ROAD,KAJIABOI SAKALO,SAKALO,,0245142545,,SERVICE,A,
CHRITIAN ANEKE ENTERPRISE,ADJACENT GOIL FILLING STATION,TUMU LEO ROAD,ZONGO,TUMU,,,,SERVICE,A,
CHURH OF PENTECOST,CLOSE TO THE DAM ON THE ROAD TO MARKET,ROAD TO MARKET,MOSHI ZONGO,TUMU,,,,SERVICE,A,
COMFORT BAR,BEREKANA SAKALO ON YOUR RIGHT FROM TUMU,TUMU BUGBELLE ROAD,BEREKAN SAKALO,SAKALO,,0542543987,,SERVICE,A,
COMMISSION ON HUMAN RIGHTS AND ADMINISTRATIVE JUSTICE,OLD DISTRICT ASSEMBLY BLOCK,TUMU LEO ROAD,OLD DISTRICT ASSEMBLY,TUMU,"P.O.BOX 12, TUMU",,,SERVICE,A,
COMMUNITY DEVELOPMENT AND SOCIAL WELFARE,AT THE DISTRICT ASSEMBLY BLOCK,AT ASSEMBLY BLOCK ROAD,DISTRICT ASSEMBLY,TUMU,"P.O.BOX 12, TUMU",,,SERVICE,A,
COMMUNITY WARE HOUSE,NATUOBOI,BY THE ROAD TO NWADUANU ON YOUR RIGHT,KUROBOI,KUROBOI,,,,SERVICE,A,
COOLS SPOT,OPPOSITE THE UNITED BASIC SCHOOL,PULIMA ROAD,DIGLAFURO,TUMU,"P.O.BOX 7, TUMU",,,SERVICE,A,
COPY BAY PRINTING,AT TUMU OPPOSITE THE OLD DISTRICT ASSEMBLY,,TUMU,TUMU,,,,SERVICE,A,
D L FITTING SHOP,BEHIND FALIA SPOT,ROAD TO THE CHIEF PALACE,SUNUNJAN,TUMU,"P.O.BOX 32, TUMU",0205724643,,SERVICE,A,
DAA TAHIRU'S STORE,TAHIRU DAA'S HOUSE,YIGANTU  BASIC SCHOOL ROAD,JAANAA,YIGANTU,,,,SERVICE,A,
DAAJAN ENTERPRISE,IN FRONT OF THE CENTRAL MOSQUE BUGUBELLE,TUMU WELLEBELLE ROAD,BUGUBELLE,BUGUBELLE,,0246586794,,SERVICE,A,
DAALAA'S SHOP,BOLOSUMA TARSAW,,TARSAW,TARSAW,,,,SERVICE,A,
DAAMATA'S STORE,HILIA'S HOUSE,TAPULIAJAN PATH,TAPULIAJAN,SANTIJAN,,,,SERVICE,A,
DAGBASU BASIC SCHOOLS,ON YOUR RIGHT OFF WELEMBELLE WAHABU ROAD,TUMU WAHABU ROAD,WELEMBELLE,WELEMBELLE,,0242649403,,SERVICE,A,
DAGOMBA STORE,OPPOSITE CHOP BUTTER RESTAURANT,ROAD TO MAIN MARKET,ZONGO,TUMU,"P.O.BOX 53, TUMU",0208914561,,SERVICE,A,
DAN DESIGNER WEAR WORK SHOP,MAHAMUDU LAGOS HOUSE,GOIL STREET,ZONGO,TUMU,,0207833262,,INDUSTRY,A,
DANGI BASIC SCHOOL,500M AWAY FROM THE KONG ON THE MAIN ROAD TO KONG,KONG DANGI ROAD,WISIRABELLE SECTION,DANGI,"P.O.BOX 36, TUMU",,,SERVICE,A,
DAUDA GRINDING MILL,"TANAASI,KULFUO",BEHIND CENTRAL MOSQUE,KULFUO,KULFUO,,0248301775,,INDUSTRY,A,
DAVID  GRINDING MILL,ADJACENT DAVID'S HOUSE,DINBIEJAN PATH,DINBIEJAN,SANTIJAN,,0245373028,,INDUSTRY,A,
DAWA JALIA STORE,OPPOSITE THE FELCOM BOUTIQUE,MAIN MARKET ROAD,ZONGO,TUMU,,,,SERVICE,A,
DAWLA SAFIA BEAUTY SALON,OPPOSITE KAVCONS COLD STORE,ROAD TO MARKET,ZONGO,TUMU,,,,SERVICE,A,
DAWUDA STORE,OPPOSITE RAZACK STORE BY THE MAIN ROAD,TAFFIASI BUJAN ROAD,TAFFIASI,TAFFIASI,,,,SERVICE,A,
DAWUDA STORE,ADJACENT THE MARKET,NABUGUBELLE BUJAN ROAD,NABUGUBELLE,NABUGUBELLE,,0248366258,,SERVICE,A,
DE-EBENEZER MOTORS,BEHIND TOP FREE,ROAD TO MARKET,ZONGO,TUMU,,0543632812,,SERVICE,A,
DEDKORAY ENTERPRISE,"BEHIND UNITED PRIMARY SCHOOL,ZONGO",,TUMU,TUMU,"C/O P.O. BOX 7, TUMU",,,INDUSTRY,A,
DEGREE FASHION AND DESIGNS,ADJACENT NANZIN ENTERPRISE,ROAD FROM KANSEC TO MAIN MARKET,NYAMEJAN,TUMU,,,,INDUSTRY,A,
DESTINY ENTERPRISE,OPPOSITE COMMUNITY CENTRE,ROAD TO MAIN MARKET,ZONGO,TUMU,,0208865088,,SERVICE,A,
DIAKA SUMANI SUNKOSU MUMUNI FITTING SHOP,BESIDE TOTAL FILLING STATION,TUMU KOWIE,STADIUM,TUMU,,0207372155,,SERVICE,A,
DIMAH MILLICENT FASHION,OPPOSITE AGRICULTURAL BANK,WELEMBELLE LEO ROAD,DIGLAFURO,TUMU,,,,INDUSTRY,A,
DIMAH STORE,HOUSE NO WE 145 FORKBOI,TUMU WAHABU ROAD,WELLEMBELLE,WELEMBELLE,,0543150903,,SERVICE,A,
DIMAJAN BASIC SCHOOL,BETWEEN DIMAJAN NO 1 AND 2,,DIMAJAN,DIMAJAN,"P.O.BOX 36, TUMU",0205380712,,SERVICE,A,
DIMAJAN NO 1 MOSQUE,ALONG THE TUMU BOLGA ROAD OPPOSITE SUMAILA'S HOUSE,TUMU BOLGA ROAD,DIMAJAN NO 1,DIMAJAN NO 1,,0509979413,,SERVICE,A,
DIMMIE JUAH WELDING SHOP,ALONG KASSAN ROAD BESIDE THE MAIN MARKET,KASSAN ROAD,TOURIJAN,TUMU,,0208720631,,INDUSTRY,A,
DIMMIE KARIM ENTERPRISE,OPPOSITE MISELL ENTERPRISE,KASANA ROAD,CHIEF PALACE,TUMU,"P.O.BOX 4, TUMU",0207462224,,SERVICE,A,
DISTRICT HEALTH ADMINISTRATION,OPPOSITE THE POLICE STATION,TUMU GWOLLU ROAD,POLICE STATION AREA,TUMU,,0203189463,,SERVICE,A,
DISTRICT MAGISTRATE COURT,,,KOSINJAN,TUMU,"P.O.BOX 41, TUMU",,,SERVICE,A,
DIVINE CONNECTION LIMITED,OPPOSITE THE BUGUBELLE CENTRAL MOSQUE,TUMU WELLEMBELLE,BUGUBELLE,BUGUBELLE,,0544416812,,SERVICE,A,
DIVINE MERCY CANTEEN,ADJACENT THE WELEMBELLE POLICE STATION,TUMU WAHABU ROAD,WELEMBELLE,WELEMBELLE,,0246014671,,SERVICE,A,
DJ ALBERT ELECTRICAL SHOP,OPPOSITE AGRIC DEVELOPMENT BANK,TUMU MAIN ROAD,DIGLAFORU,TUMU,,0265356855,,SERVICE,A,
DO GOOD BABERING SHOP,AFTER THE POLICE BARIER ADJACENT RUFIA STORE,,TUMU,TUMU,,0205911935,,SERVICE,A,
DOCTOR GRINDING MILL,100M BEHIND GBANABOI MOSQUE,TUMU WAHABU ROAD,WELEMBELLE,WELEMBELLE,,0244574402,,INDUSTRY,A,
DOGLO NNAA STORE,HOUSE NO WE 004 YALLIABOI,TUMU WAHABU ROAD,YALLIABOI ROAD,WELEMBELLE,,0541930299,,SERVICE,A,
DOHO FASHION CENTRE,ALONG THE GWOLU ROAD ADJACENT YOUNG BAZZAR SALON,,DIGLAFORU,TUMU,,0209062837,,INDUSTRY,A,
DOLIBIZON BASIC SCHOOL,BY THE MAIN STREET OF DOLIBIZON,SINBORU ROAD,,DOLIBZON,"P.O.BOX 36, TUMU",0506552940,,SERVICE,A,
DOLIBIZON CENTRAL MOSQUE,ADJACENT NDAY STORE,BRODIMAHAN ROAD,BRODIMAHJAN,DOBIZON,,0206318719,,SERVICE,A,
DON'T RASH ENTERPRISE,HOUSE WE 040 SIKORIBOI,TUMU WAHABU ROAD,WELEMBELLE,WELEMBELLE,,0244280597,,SERVICE,A,
DONLADI GRINDING MILL,"BAGRIBOI,CHALLU",BY THE BOREHOLE BEHIND THE MOSQUE,CHALLU,CHALLU,,0241777300,,INDUSTRY,A,
DRAMANI GRINDING MILL,ALONG KASANPUORI ROAD OPPOSITE THE MOSQUE,,KASANA,KASANA,,0204082504,,INDUSTRY,A,
DRAMANI STORE,ALONG THE KASANPUORI ROAD OPPOSITE IDDRISU HOUSE,,KASANA,KASANA,,0204082504,,SERVICE,A,
DUBIE HILL TOP HOTEL,OPPOSITE VOLTA RIVER AUTHORITY,,STADIUM,TUMU,"P.O.BOX 87, TUMU",,,SERVICE,A,
DUU EAST BASIC SCHOOL,FIRST BUILDING ON YOUR RIGHT TO DUU EAST,DUU EAST MAIN ROAD,OUTSKIRT OF DUU EAST TOWARDS NABULO,DUU EAST,"P.O.BOX 36, TUMU",,,SERVICE,A,
DUU EAST BASIC SCHOOL,CHIEFS PALACE,CHIEF PALACE ROAD,BAABOI,DUU EAST,,,,SERVICE,A,
DUUDIMAH SALA'S STORE,DIRECTLY OPPOSITE TUMUN LORRY STATION,GOIL STREET,ZONGO,TUMU,,,,SERVICE,A,
E. KASH BUSINESS AND COMMUNICATION LIMITED,,ROAD TO MAIN MARKET,ZONGO,TUMU,,,,SERVICE,A,
EDI'S STORE,BUKARIJAN,KOMOR NO ONE,BANZABE,KOMOR,,,,SERVICE,A,
EGALA JHS,BEHIN THE CHIEFS PALACE,,KUSINJAN,TUMU,"P.O.BOX 36, TUMU",,,SERVICE,A,
EGALA PRIMARY SCHOOL,BEHIND THE CHIEFS PALACE BESIDE EGALA JUNIOR HIGH SCHOOL,,KOSIJAN,TUMU,"P.O.BOX 36, TUMU",,,SERVICE,A,
ELECTROL COMMISSION,BEHIND THE POLICE BARIER,TUMU LEO ROAD,STADIUM AREA,TUMU,"P.O.BOX 12, TUMU",0244473987,,SERVICE,C,
ELIASU'S STORE,OPPOSITE MARIAMA'S STORE ALONG THE ROAD,KANSEC SECONDARY TECHNICAL ROAD,NYAMEJAN,TUMU,,0206397495,,SERVICE,A,
ELIZABETH ENTERPRISE,ADJACENT PLAN GHANA,TUMU BOLGA ROAD,RURAL HOUSES,TUMU,,,,SERVICE,A,
ENGINEER TAILORING SHOP,ON YOUR RIGHT OFF BUGUBALLE JIJEN ROAD,BUGUBELLE JIJEN ROAD,BUGUBELLE,BUGUBELLE,,0548497661,,INDUSTRY,A,
